system,wB97M(w=1)/def2-QZVP/ORCA_5.0.1
S66x8/12-110,-172.48944929
S66x8/12-125,-172.48845188
S66x8/12-150,-172.48639833
S66x8/12-200,-172.48397247
S66x8/13-A,-248.81088923
S66x8/13-B,-115.85218513
S66x8/13-090,-364.66403946
S66x8/13-095,-364.66575741
S66x8/13-100,-364.66680612
S66x8/13-105,-364.66740317
S66x8/13-110,-364.66768911
S66x8/13-125,-364.66763095
S66x8/13-150,-364.66659946
S66x8/13-200,-364.66489378
S66x8/14-A,-248.81063213
S66x8/14-B,-95.97308266
S66x8/14-090,-344.78604446
S66x8/14-095,-344.78789743
S66x8/14-100,-344.78899909
S66x8/14-105,-344.78959434
S66x8/14-110,-344.78983556
S66x8/14-125,-344.78950219
S66x8/14-150,-344.78801403
S66x8/14-200,-344.78582585
S66x8/15-A,-248.81057914
S66x8/15-B,-248.81074883
S66x8/15-090,-497.62359157
S66x8/15-095,-497.62555995
S66x8/15-100,-497.62676642
S66x8/15-105,-497.62746005
S66x8/15-110,-497.62778996
S66x8/15-125,-497.62764883
S66x8/15-150,-497.62631406
S66x8/15-200,-497.6237695
S66x8/16-A,-248.81076133
S66x8/16-B,-76.50926919
S66x8/16-090,-325.32275743
S66x8/16-095,-325.32401418
S66x8/16-100,-325.32471391
S66x8/16-105,-325.32503615
S66x8/16-110,-325.32512447
S66x8/16-125,-325.32471604
S66x8/16-150,-325.32347659
S66x8/16-200,-325.32177003
S66x8/17-A,-415.29582722
S66x8/17-B,-415.29593205
S66x8/17-090,-830.60448098
S66x8/17-095,-830.607518
S66x8/17-100,-830.60905426
S66x8/17-105,-830.60959363
S66x8/17-110,-830.60946995
S66x8/17-125,-830.60720217
S66x8/17-150,-830.60237055
S66x8/17-200,-830.59651285
S66x8/18-A,-76.50926895
S66x8/18-B,-248.59514216
S66x8/18-090,-325.10963135
S66x8/18-095,-325.11086768
S66x8/18-100,-325.11144986
S66x8/18-105,-325.11160299
S66x8/18-110,-325.11148516
S66x8/18-125,-325.11040468
S66x8/18-150,-325.10838223
S66x8/18-200,-325.10605249
S66x8/19-A,-115.8517091
S66x8/19-B,-248.59513455
S66x8/19-090,-364.45112414
S66x8/19-095,-364.45266243
S66x8/19-100,-364.45347024
S66x8/19-105,-364.45378497
S66x8/19-110,-364.45405823
S66x8/19-125,-364.45285853
S66x8/19-150,-364.45113397
S66x8/19-200,-364.44870249
S66x8/20-A,-229.34192664
S66x8/20-B,-229.34192634
S66x8/20-090,-458.69989343
S66x8/20-095,-458.70304419
S66x8/20-100,-458.70451758
S66x8/20-105,-458.70487194
S66x8/20-110,-458.70451599
S66x8/20-125,-458.70155329
S66x8/20-150,-458.69572303
S66x8/20-200,-458.68905534
S66x8/21-A,-209.45804846
S66x8/21-B,-209.45805106
S66x8/21-090,-418.92860428
S66x8/21-095,-418.9314747
S66x8/21-100,-418.93292922
S66x8/21-105,-418.93342327
S66x8/21-110,-418.93329409
S66x8/21-125,-418.93112916
S66x8/21-150,-418.92664991
S66x8/21-200,-418.92062514
S66x8/22-A,-229.34189633
S66x8/22-B,-415.29562034
S66x8/22-090,-644.65394209
S66x8/22-095,-644.65705225
S66x8/22-100,-644.65857328
S66x8/22-105,-644.65902738
S66x8/22-110,-644.65877584
S66x8/22-125,-644.6559806
S66x8/22-150,-644.65034407
S66x8/22-200,-644.64352858
S66x8/23-A,-209.45792521
S66x8/23-B,-415.29552136
S66x8/23-090,-624.76967185
S66x8/23-095,-624.77265444
S66x8/23-100,-624.77418131
S66x8/23-105,-624.77471149
S66x8/23-110,-624.77458095
S66x8/23-125,-624.77218344
S66x8/23-150,-624.76697812
S66x8/23-200,-624.76028035
S66x8/24-A,-232.54682425
S66x8/24-B,-232.54684598
S66x8/24-090,-465.07366487
S66x8/24-095,-465.08080076
S66x8/24-100,-465.0853106
S66x8/24-105,-465.08815887
S66x8/24-110,-465.09000612
S66x8/24-125,-465.09262323
S66x8/24-150,-465.09353613
S66x8/24-200,-465.09359915
S66x8/25-A,-248.59517577
S66x8/25-B,-248.59518027
S66x8/25-090,-497.17119582
S66x8/25-095,-497.17828386
S66x8/25-100,-497.18281745
S66x8/25-105,-497.18572202
S66x8/25-110,-497.18756872
S66x8/25-125,-497.19006644
S66x8/25-150,-497.19078102
S66x8/25-200,-497.19051563
S66x8/26-A,-415.2965402
S66x8/26-B,-415.2965402
S66x8/26-090,-830.57669879
S66x8/26-095,-830.58447384
S66x8/26-100,-830.58936888
S66x8/26-105,-830.59237843
S66x8/26-110,-830.59423942
S66x8/26-125,-830.59634676
S66x8/26-150,-830.5959389
S66x8/26-200,-830.59425381
S66x8/27-A,-232.54682833
S66x8/27-B,-248.59517894
S66x8/27-090,-481.12200195
S66x8/27-095,-481.12951654
S66x8/27-100,-481.13416507
S66x8/27-105,-481.1370936
S66x8/27-110,-481.13894081
S66x8/27-125,-481.14141463
S66x8/27-150,-481.14218373
S66x8/27-200,-481.1420597
S66x8/28-A,-232.54688279
S66x8/28-B,-415.29706048
S66x8/28-090,-647.82350093
S66x8/28-095,-647.83101702
S66x8/28-100,-647.83582548
S66x8/28-105,-647.83893423
S66x8/28-110,-647.84103339
S66x8/28-125,-647.84369863
S66x8/28-150,-647.84436568
S66x8/28-200,-647.84391214
S66x8/29-A,-248.59518069
S66x8/29-B,-415.29700485
S66x8/29-090,-663.87069492
S66x8/29-095,-663.88028843
S66x8/29-100,-663.88594489
S66x8/29-105,-663.88933654
S66x8/29-110,-663.8914048
S66x8/29-125,-663.89362252
S66x8/29-150,-663.89358388
S66x8/29-200,-663.89264997
S66x8/30-A,-232.54683625
S66x8/30-B,-78.69327185
S66x8/30-090,-311.22861715
S66x8/30-095,-311.23244642
S66x8/30-100,-311.23489953
S66x8/30-105,-311.23653898
S66x8/30-110,-311.2376121
S66x8/30-125,-311.23920822
S66x8/30-150,-311.23986434
S66x8/30-200,-311.23998333
S66x8/31-A,-415.29706367
S66x8/31-B,-78.69328873
S66x8/31-090,-493.98102597
S66x8/31-095,-493.98462611
S66x8/31-100,-493.98692079
S66x8/31-105,-493.98849121
S66x8/31-110,-493.98951631
S66x8/31-125,-493.99078139
S66x8/31-150,-493.99092712
S66x8/31-200,-493.99055183
S66x8/32-A,-415.29703011
S66x8/32-B,-77.43857109
S66x8/32-090,-492.72767728
S66x8/32-095,-492.73121309
S66x8/32-100,-492.7334122
S66x8/32-105,-492.73479268
S66x8/32-110,-492.73568026
S66x8/32-125,-492.73655711
S66x8/32-150,-492.7363812
S66x8/32-200,-492.7357324
S66x8/33-A,-248.59517039
S66x8/33-B,-78.69324208
S66x8/33-090,-327.27791224
S66x8/33-095,-327.28137506
S66x8/33-100,-327.28367863
S66x8/33-105,-327.28521301
S66x8/33-110,-327.28626204
S66x8/33-125,-327.28777037
S66x8/33-150,-327.28837409
S66x8/33-200,-327.28839131
S66x8/34-A,-198.00736819
S66x8/34-B,-198.00736427
S66x8/34-090,-395.99947348
S66x8/34-095,-396.00454318
S66x8/34-100,-396.00782528
S66x8/34-105,-396.01010324
S66x8/34-110,-396.01173349
S66x8/34-125,-396.01416276
S66x8/34-150,-396.01507106
S66x8/34-200,-396.01495424
S66x8/35-A,-198.0073701
S66x8/35-B,-198.00672744
S66x8/35-090,-396.00312991
S66x8/35-095,-396.00703885
S66x8/35-100,-396.00949505
S66x8/35-105,-396.0110853
S66x8/35-110,-396.01218694
S66x8/35-125,-396.01373094
S66x8/35-150,-396.01423553
S66x8/35-200,-396.01414791
S66x8/36-A,-198.00667729
S66x8/36-B,-198.0067438
S66x8/36-090,-396.00659124
S66x8/36-095,-396.00875026
S66x8/36-100,-396.01017953
S66x8/36-105,-396.01117963
S66x8/36-110,-396.01185364
S66x8/36-125,-396.01285165
S66x8/36-150,-396.01318566
S66x8/36-200,-396.01310349
S66x8/37-A,-196.79312892
S66x8/37-B,-198.00637159
S66x8/37-090,-394.78871876
S66x8/37-095,-394.79255578
S66x8/37-100,-394.79501537
S66x8/37-105,-394.79661294
S66x8/37-110,-394.7977182
S66x8/37-125,-394.79929751
S66x8/37-150,-394.79990243
S66x8/37-200,-394.79984674
S66x8/38-A,-196.79300371
S66x8/38-B,-196.79300344
S66x8/38-090,-393.57438082
S66x8/38-095,-393.57804547
S66x8/38-100,-393.58073774
S66x8/38-105,-393.58255323
S66x8/38-110,-393.58385576
S66x8/38-125,-393.58557566
S66x8/38-150,-393.58614954
S66x8/38-200,-393.58602923
S66x8/39-A,-232.54684345
S66x8/39-B,-196.79295665
S66x8/39-090,-429.32511361
S66x8/39-095,-429.3302522
S66x8/39-100,-429.33364958
S66x8/39-105,-429.33594219
S66x8/39-110,-429.33744051
S66x8/39-125,-429.33946343
S66x8/39-150,-429.34007389
S66x8/39-200,-429.33987387
S66x8/40-A,-232.54684993
S66x8/40-B,-198.00662792
S66x8/40-090,-430.54243382
S66x8/40-095,-430.54646065
S66x8/40-100,-430.54904721
S66x8/40-105,-430.55072878
S66x8/40-110,-430.55183393
S66x8/40-125,-430.55335163
S66x8/40-150,-430.55374485
S66x8/40-200,-430.55355494
S66x8/41-A,-415.29712101
S66x8/41-B,-198.00743945
S66x8/41-090,-613.28800522
S66x8/41-095,-613.29349932
S66x8/41-100,-613.29715027
S66x8/41-105,-613.2997259
S66x8/41-110,-613.30183499
S66x8/41-125,-613.30435406
S66x8/41-150,-613.30485044
S66x8/41-200,-613.30459581
S66x8/42-A,-415.29713767
S66x8/42-B,-196.79302068
S66x8/42-090,-612.07474738
S66x8/42-095,-612.08019372
S66x8/42-100,-612.08369155
S66x8/42-105,-612.08600236
S66x8/42-110,-612.08761438
S66x8/42-125,-612.08974928
S66x8/42-150,-612.09042294
S66x8/42-200,-612.09021333
S66x8/43-A,-415.29709232
S66x8/43-B,-198.00667459
S66x8/43-090,-613.29220036
S66x8/43-095,-613.29653364
S66x8/43-100,-613.29926048
S66x8/43-105,-613.30107684
S66x8/43-110,-613.30226986
S66x8/43-125,-613.30375379
S66x8/43-150,-613.30403286
S66x8/43-200,-613.30373469
S66x8/44-A,-78.69327306
S66x8/44-B,-198.00738103
S66x8/44-090,-276.69339583
S66x8/44-095,-276.69588617
S66x8/44-100,-276.69751396
S66x8/44-105,-276.69869847
S66x8/44-110,-276.69944168
S66x8/44-125,-276.70058735
S66x8/44-150,-276.70089673
S66x8/44-200,-276.70074805
S66x8/45-A,-77.43858771
S66x8/45-B,-198.00735483
S66x8/45-090,-275.43858497
S66x8/45-095,-275.44128905
S66x8/45-100,-275.44301179
S66x8/45-105,-275.44416913
S66x8/45-110,-275.44489246
S66x8/45-125,-275.44585865
S66x8/45-150,-275.44602775
S66x8/45-200,-275.44578924
S66x8/46-A,-248.81090416
S66x8/46-B,-198.00727972
S66x8/46-090,-446.80603017
S66x8/46-095,-446.80978727
S66x8/46-100,-446.81244369
S66x8/46-105,-446.81437967
S66x8/46-110,-446.81574525
S66x8/46-125,-446.81789428
S66x8/46-150,-446.81873652
S66x8/46-200,-446.81840825
S66x8/47-A,-232.54685694
S66x8/47-B,-232.54689059
S66x8/47-090,-465.08362459
S66x8/47-095,-465.08754723
S66x8/47-100,-465.08999762
S66x8/47-105,-465.09157423
S66x8/47-110,-465.09258106
S66x8/47-125,-465.09387863
S66x8/47-150,-465.09412292
S66x8/47-200,-465.09383074
S66x8/48-A,-248.59519133
S66x8/48-B,-248.59517477
S66x8/48-090,-497.18175961
S66x8/48-095,-497.18518179
S66x8/48-100,-497.18741353
S66x8/48-105,-497.18887873
S66x8/48-110,-497.18980386
S66x8/48-125,-497.19102692
S66x8/48-150,-497.19116082
S66x8/48-200,-497.19068455
S66x8/49-A,-232.54685709
S66x8/49-B,-248.59516011
S66x8/49-090,-481.13256974
S66x8/49-095,-481.13651356
S66x8/49-100,-481.13895703
S66x8/49-105,-481.14051408
S66x8/49-110,-481.14150237
S66x8/49-125,-481.14269742
S66x8/49-150,-481.14278907
S66x8/49-200,-481.14233114
S66x8/50-A,-232.5468616
S66x8/50-B,-77.43860382
S66x8/50-090,-309.98001421
S66x8/50-095,-309.98286935
S66x8/50-100,-309.98457335
S66x8/50-105,-309.98552071
S66x8/50-110,-309.9861592
S66x8/50-125,-309.9866835
S66x8/50-150,-309.98639557
S66x8/50-200,-309.98576482
S66x8/51-A,-77.4385943
S66x8/51-B,-77.43861649
S66x8/51-090,-154.87641823
S66x8/51-095,-154.87736029
S66x8/51-100,-154.87789088
S66x8/51-105,-154.8781639
S66x8/51-110,-154.87828488
S66x8/51-125,-154.87821249
S66x8/51-150,-154.87780653
S66x8/51-200,-154.87736203
S66x8/52-A,-232.54686171
S66x8/52-B,-229.34409126
S66x8/52-090,-461.8863205
S66x8/52-095,-461.8890443
S66x8/52-100,-461.890754
S66x8/52-105,-461.89180833
S66x8/52-110,-461.89245594
S66x8/52-125,-461.89301191
S66x8/52-150,-461.89257908
S66x8/52-200,-461.89157993
S66x8/53-A,-232.54685845
S66x8/53-B,-209.45909124
S66x8/53-090,-442.00258286
S66x8/53-095,-442.00474799
S66x8/53-100,-442.00611943
S66x8/53-105,-442.00696634
S66x8/53-110,-442.00748243
S66x8/53-125,-442.00795989
S66x8/53-150,-442.00750274
S66x8/53-200,-442.00647151
S66x8/54-A,-232.54686732
S66x8/54-B,-76.50923434
S66x8/54-090,-309.053773
S66x8/54-095,-309.05568919
S66x8/54-100,-309.05685409
S66x8/54-105,-309.05754058
S66x8/54-110,-309.05790847
S66x8/54-125,-309.05811886
S66x8/54-150,-309.0575461
S66x8/54-200,-309.05661484
S66x8/55-A,-232.54687492
S66x8/55-B,-115.85203866
S66x8/55-090,-348.39322396
S66x8/55-095,-348.39602872
S66x8/55-100,-348.39783841
S66x8/55-105,-348.39902736
S66x8/55-110,-348.39978395
S66x8/55-125,-348.40062837
S66x8/55-150,-348.40039594
S66x8/55-200,-348.39951129
S66x8/56-A,-232.54685806
S66x8/56-B,-95.97301584
S66x8/56-090,-328.5124437
S66x8/56-095,-328.51536787
S66x8/56-100,-328.51728588
S66x8/56-105,-328.51864896
S66x8/56-110,-328.51956324
S66x8/56-125,-328.52061426
S66x8/56-150,-328.52064704
S66x8/56-200,-328.5201322
S66x8/57-A,-232.54687419
S66x8/57-B,-248.81086769
S66x8/57-090,-481.3470009
S66x8/57-095,-481.35205091
S66x8/57-100,-481.35512802
S66x8/57-105,-481.35704919
S66x8/57-110,-481.35824253
S66x8/57-125,-481.35953055
S66x8/57-150,-481.35936392
S66x8/57-200,-481.358423
S66x8/58-A,-248.5951492
S66x8/58-B,-248.59513702
S66x8/58-090,-497.18539276
S66x8/58-095,-497.18851247
S66x8/58-100,-497.19086623
S66x8/58-105,-497.19184466
S66x8/58-110,-497.19220206
S66x8/58-125,-497.19210751
S66x8/58-150,-497.19134968
S66x8/58-200,-497.19059727
S66x8/59-A,-77.43860648
S66x8/59-B,-76.50926762
S66x8/59-090,-153.9493474
S66x8/59-095,-153.95018596
S66x8/59-100,-153.95061293
S66x8/59-105,-153.95078274
S66x8/59-110,-153.95078683
S66x8/59-125,-153.9503722
S66x8/59-150,-153.94946291
S66x8/59-200,-153.948399
S66x8/60-A,-77.43856881
S66x8/60-B,-229.34405814
S66x8/60-090,-306.78284918
S66x8/60-095,-306.78461346
S66x8/60-100,-306.7855961
S66x8/60-105,-306.78608783
S66x8/60-110,-306.78626002
S66x8/60-125,-306.78591482
S66x8/60-150,-306.78475454
S66x8/60-200,-306.78335303
S66x8/61-A,-198.00736706
S66x8/61-B,-229.34416755
S66x8/61-090,-427.34390097
S66x8/61-095,-427.3461751
S66x8/61-100,-427.34782051
S66x8/61-105,-427.34900336
S66x8/61-110,-427.34986701
S66x8/61-125,-427.35127579
S66x8/61-150,-427.35185244
S66x8/61-200,-427.35163529
S66x8/62-A,-198.00740854
S66x8/62-B,-209.45914397
S66x8/62-090,-407.45735348
S66x8/62-095,-407.46037031
S66x8/62-100,-407.46252679
S66x8/62-105,-407.46400786
S66x8/62-110,-407.46499344
S66x8/62-125,-407.46658358
S66x8/62-150,-407.46705207
S66x8/62-200,-407.46672669
S66x8/63-A,-232.54684018
S66x8/63-B,-229.34410592
S66x8/63-090,-461.88055981
S66x8/63-095,-461.88477369
S66x8/63-100,-461.88740372
S66x8/63-105,-461.889115
S66x8/63-110,-461.89023548
S66x8/63-125,-461.89156321
S66x8/63-150,-461.89168719
S66x8/63-200,-461.89117865
S66x8/64-A,-248.81090076
S66x8/64-B,-78.69327859
S66x8/64-090,-327.4988699
S66x8/64-095,-327.50101623
S66x8/64-100,-327.50245624
S66x8/64-105,-327.50341665
S66x8/64-110,-327.50405441
S66x8/64-125,-327.50485398
S66x8/64-150,-327.50483891
S66x8/64-200,-327.50430122
S66x8/65-A,-248.59516951
S66x8/65-B,-77.4382582
S66x8/65-090,-326.03571361
S66x8/65-095,-326.03673075
S66x8/65-100,-326.03725098
S66x8/65-105,-326.03745963
S66x8/65-110,-326.03746639
S66x8/65-125,-326.03693496
S66x8/65-150,-326.03579887
S66x8/65-200,-326.03447287
S66x8/66-A,-95.9729932
S66x8/66-B,-248.59517694
S66x8/66-090,-344.56299603
S66x8/66-095,-344.56526489
S66x8/66-100,-344.56680852
S66x8/66-105,-344.56784434
S66x8/66-110,-344.56852985
S66x8/66-125,-344.56943414
S66x8/66-150,-344.56941893
S66x8/66-200,-344.56872168
NCIBLIND10/01-A,-232.54570249
NCIBLIND10/01-B,-40.56882852
NCIBLIND10/01-1,-273.10607832
NCIBLIND10/01-2,-273.11266391
NCIBLIND10/01-3,-273.1146793
NCIBLIND10/01-4,-273.11463492
NCIBLIND10/01-5,-273.11456924
NCIBLIND10/01-6,-273.11454368
NCIBLIND10/01-7,-273.11453589
NCIBLIND10/02-A,-232.54652892
NCIBLIND10/02-B,-76.50902444
NCIBLIND10/02-1,-309.03461073
NCIBLIND10/02-2,-309.05323484
NCIBLIND10/02-3,-309.05699306
NCIBLIND10/02-4,-309.05742794
NCIBLIND10/02-5,-309.05709192
NCIBLIND10/02-6,-309.05668875
NCIBLIND10/02-7,-309.05608796
NCIBLIND10/02-8,-309.05584323
NCIBLIND10/02-9,-309.05573226
NCIBLIND10/03-A,-155.21690321
NCIBLIND10/03-B,-155.2168493
NCIBLIND10/03-1,-310.42467233
NCIBLIND10/03-2,-310.43079824
NCIBLIND10/03-3,-310.43450852
NCIBLIND10/03-4,-310.4342435
NCIBLIND10/03-5,-310.43396514
NCIBLIND10/03-6,-310.43385841
NCIBLIND10/03-7,-310.43381979
NCIBLIND10/04-A,-600.1475128
NCIBLIND10/04-B,-600.14801193
NCIBLIND10/04-1,-1200.27614798
NCIBLIND10/04-2,-1200.2905761
NCIBLIND10/04-3,-1200.30147933
