system,PBE/def2-QZVP/Q-Chem
S22x5/15-1.5,-595.5542937219
S22x5/15-2.0,-595.5524905533
S22x5/16-A,-232.0358170511
S22x5/16-B,-363.5152815979
S22x5/16-0.9,-595.5392438987
S22x5/16-1.0,-595.5475803407
S22x5/16-1.2,-595.5512205423
S22x5/16-1.5,-595.5512192728
S22x5/16-2.0,-595.5510494171
S22x5/17-A,-264.1102025343
S22x5/17-B,-264.1102757926
S22x5/17-0.9,-528.2116420805
S22x5/17-1.0,-528.2193939893
S22x5/17-1.2,-528.2218544249
S22x5/17-1.5,-528.2211542696
S22x5/17-2.0,-528.2206495374
S22x5/18-A,-323.2837295508
S22x5/18-B,-303.41142369
S22x5/18-0.9,-626.717714223
S22x5/18-1.0,-626.7199144161
S22x5/18-1.2,-626.7156453611
S22x5/18-1.5,-626.707203199
S22x5/18-2.0,-626.7000048524
S22x5/19-A,-307.2286363408
S22x5/19-B,-307.2283770188
S22x5/19-0.9,-614.4621700503
S22x5/19-1.0,-614.4635070647
S22x5/19-1.2,-614.4634114779
S22x5/19-1.5,-614.4611416986
S22x5/19-2.0,-614.4589658869
S22x5/20-A,-414.5580329622
S22x5/20-B,-414.5580329622
S22x5/20-0.9,-829.1108693228
S22x5/20-1.0,-829.1210074536
S22x5/20-1.2,-829.121478003
S22x5/20-1.5,-829.1186294129
S22x5/20-2.0,-829.1168814406
S22x5/21-A,-414.5575430171
S22x5/21-B,-414.5575430171
S22x5/21-0.9,-829.142112329
S22x5/21-1.0,-829.1449020849
S22x5/21-1.2,-829.1397446385
S22x5/21-1.5,-829.130026134
S22x5/21-2.0,-829.1214811787
S22x5/22-A,-232.0359313955
S22x5/22-B,-93.3532483378
S22x5/22-0.9,-325.3925492817
S22x5/22-1.0,-325.3937783642
S22x5/22-1.2,-325.3935253973
S22x5/22-1.5,-325.3918782615
S22x5/22-2.0,-325.3902832071
S66x8/01-A,-76.386654274
S66x8/01-B,-76.3867054971
S66x8/01-090,-152.7814108795
S66x8/01-095,-152.7817966479
S66x8/01-100,-152.7817383864
S66x8/01-105,-152.7814130516
S66x8/01-110,-152.7809385472
S66x8/01-125,-152.7792864421
S66x8/01-150,-152.7770389037
S66x8/01-200,-152.7749072937
S66x8/02-A,-76.3866570251
S66x8/02-B,-115.640458276
S66x8/02-090,-192.0352516726
S66x8/02-095,-192.0357905383
S66x8/02-100,-192.0358202668
S66x8/02-105,-192.0355409042
S66x8/02-110,-192.0350794903
S66x8/02-125,-192.033356749
S66x8/02-150,-192.0309401361
S66x8/02-200,-192.028658559
S66x8/03-A,-76.3866517866
S66x8/03-B,-95.7744068885
S66x8/03-090,-172.1725432158
S66x8/03-095,-172.1729702034
S66x8/03-100,-172.1728392144
S66x8/03-105,-172.1723683555
S66x8/03-110,-172.1717042872
S66x8/03-125,-172.1693578243
S66x8/03-150,-172.1661116738
S66x8/03-200,-172.1630126851
S66x8/04-A,-76.3866550379
S66x8/04-B,-248.3385815679
S66x8/04-090,-324.7365366426
S66x8/04-095,-324.7371691566
S66x8/04-100,-324.7372101148
S66x8/04-105,-324.7368898514
S66x8/04-110,-324.7363480665
S66x8/04-125,-324.7342422812
S66x8/04-150,-324.7311011273
S66x8/04-200,-324.7274956711
S66x8/05-A,-115.6404716245
S66x8/05-B,-115.6404972941
S66x8/05-090,-231.2887995767
S66x8/05-095,-231.2894480923
S66x8/05-100,-231.2895528481
S66x8/05-105,-231.2893255543
S66x8/05-110,-231.2889006861
S66x8/05-125,-231.2872316841
S66x8/05-150,-231.2848188878
S66x8/05-200,-231.2824674096
S66x8/06-A,-115.6403741402
S66x8/06-B,-95.7744823885
S66x8/06-090,-211.4258775878
S66x8/06-095,-211.426650585
S66x8/06-100,-211.4267353161
S66x8/06-105,-211.4263891074
S66x8/06-110,-211.4257952205
S66x8/06-125,-211.4235140351
S66x8/06-150,-211.4201739925
S66x8/06-200,-211.4168716989
S66x8/07-A,-115.6404744473
S66x8/07-B,-248.3381626917
S66x8/07-090,-363.9895515558
S66x8/07-095,-363.9903480381
S66x8/07-100,-363.9905050513
S66x8/07-105,-363.9902588674
S66x8/07-110,-363.989754212
S66x8/07-125,-363.9876594312
S66x8/07-150,-363.9840446117
S66x8/07-200,-363.9802260385
S66x8/08-A,-115.6404455467
S66x8/08-B,-76.3867080693
S66x8/08-090,-192.0348425245
S66x8/08-095,-192.0353288199
S66x8/08-100,-192.0353421876
S66x8/08-105,-192.0350687998
S66x8/08-110,-192.0346291741
S66x8/08-125,-192.0330258647
S66x8/08-150,-192.0307832046
S66x8/08-200,-192.028617905
S66x8/09-A,-95.7744356536
S66x8/09-B,-115.6404542172
S66x8/09-090,-211.4181932952
S66x8/09-095,-211.4187139517
S66x8/09-100,-211.4188592779
S66x8/09-105,-211.4187845676
S66x8/09-110,-211.4185871803
S66x8/09-125,-211.4177359682
S66x8/09-150,-211.4165704756
S66x8/09-200,-211.4155523009
S66x8/10-A,-95.7745289292
S66x8/10-B,-95.7744573887
S66x8/10-090,-191.5530987594
S66x8/10-095,-191.553874115
S66x8/10-100,-191.5541334408
S66x8/10-105,-191.5540800673
S66x8/10-110,-191.5538372235
S66x8/10-125,-191.5527227452
S66x8/10-150,-191.5507927215
S66x8/10-200,-191.549485775
S66x8/11-A,-95.7744754117
S66x8/11-B,-248.3383107052
S66x8/11-090,-344.1171402937
S66x8/11-095,-344.1181200477
S66x8/11-100,-344.1185506275
S66x8/11-105,-344.1186211058
S66x8/11-110,-344.1184597426
S66x8/11-125,-344.1167586346
S66x8/11-150,-344.1146206869
S66x8/11-200,-344.1133836166
S66x8/12-A,-95.7744390922
S66x8/12-B,-76.3868018578
S66x8/12-090,-172.1722573364
S66x8/12-095,-172.1728832158
S66x8/12-100,-172.172869333
S66x8/12-105,-172.1724620183
S66x8/12-110,-172.1718343884
S66x8/12-125,-172.1695361742
S66x8/12-150,-172.1662471514
S66x8/12-200,-172.1630725886
S66x8/13-A,-248.3382993658
S66x8/13-B,-115.6404825109
S66x8/13-090,-363.9852260585
S66x8/13-095,-363.9861053198
S66x8/13-100,-363.9864384825
S66x8/13-105,-363.9864202287
S66x8/13-110,-363.9861843037
S66x8/13-125,-363.9849294711
S66x8/13-150,-363.9828471667
S66x8/13-200,-363.9806170227
S66x8/14-A,-248.3381761152
S66x8/14-B,-95.77448898
S66x8/14-090,-344.1214964802
S66x8/14-095,-344.1224467814
S66x8/14-100,-344.122761188
S66x8/14-105,-344.1226634817
S66x8/14-110,-344.1222998604
S66x8/14-125,-344.1205254234
S66x8/14-150,-344.1177644312
S66x8/14-200,-344.1148072218
S66x8/15-A,-248.3385955833
S66x8/15-B,-248.3385892182
S66x8/15-090,-496.6862032955
S66x8/15-095,-496.6872674749
S66x8/15-100,-496.6876875159
S66x8/15-105,-496.6876671934
S66x8/15-110,-496.6873586285
S66x8/15-125,-496.6857480927
S66x8/15-150,-496.6830887125
S66x8/15-200,-496.6796416495
S66x8/16-A,-248.3386951435
S66x8/16-B,-76.3867040465
S66x8/16-090,-324.7321054121
S66x8/16-095,-324.7327200707
S66x8/16-100,-324.7328710091
S66x8/16-105,-324.7327282742
S66x8/16-110,-324.7324183648
S66x8/16-125,-324.7311317853
S66x8/16-150,-324.7291742582
S66x8/16-200,-324.7271425688
S66x8/17-A,-414.557700047
S66x8/17-B,-414.5577399097
S66x8/17-090,-829.1384082983
S66x8/17-095,-829.140186596
S66x8/17-100,-829.1405617445
S66x8/17-105,-829.1400397011
S66x8/17-110,-829.1389697958
S66x8/17-125,-829.1344618247
S66x8/17-150,-829.127563279
S66x8/17-200,-829.1203499881
S66x8/18-A,-76.3866593834
S66x8/18-B,-248.0746965908
S66x8/18-090,-324.4722545679
S66x8/18-095,-324.4727455413
S66x8/18-100,-324.4726709727
S66x8/18-105,-324.4722442394
S66x8/18-110,-324.4716117205
S66x8/18-125,-324.4693518696
S66x8/18-150,-324.4662459535
S66x8/18-200,-324.4633114633
S66x8/19-A,-115.6403776623
S66x8/19-B,-248.0746911486
S66x8/19-090,-363.7255181789
S66x8/19-095,-363.7262554511
S66x8/19-100,-363.7263547889
S66x8/19-105,-363.7260469967
S66x8/19-110,-363.7255466006
S66x8/19-125,-363.7232736766
S66x8/19-150,-363.720116966
S66x8/19-200,-363.7169567136
S66x8/20-A,-228.9425724152
S66x8/20-B,-228.9425847928
S66x8/20-090,-457.9133443463
S66x8/20-095,-457.9152404147
S66x8/20-100,-457.9155281285
S66x8/20-105,-457.9147599831
S66x8/20-110,-457.9133680999
S66x8/20-125,-457.907653846
S66x8/20-150,-457.8993048327
S66x8/20-200,-457.8907305412
S66x8/21-A,-209.0720164041
S66x8/21-B,-209.072020224
S66x8/21-090,-418.1665204042
S66x8/21-095,-418.1680875974
S66x8/21-100,-418.1683676534
S66x8/21-105,-418.1678505026
S66x8/21-110,-418.166833739
S66x8/21-125,-418.1626078021
S66x8/21-150,-418.156113471
S66x8/21-200,-418.1486857247
S66x8/22-A,-228.9424890716
S66x8/22-B,-414.5574232646
S66x8/22-090,-643.5274534211
S66x8/22-095,-643.5292900422
S66x8/22-100,-643.5296247611
S66x8/22-105,-643.5289842453
S66x8/22-110,-643.5277602584
S66x8/22-125,-643.5226694726
S66x8/22-150,-643.5147174401
S66x8/22-200,-643.5062395358
S66x8/23-A,-209.0718695859
S66x8/23-B,-414.557455145
S66x8/23-090,-623.6557711159
S66x8/23-095,-623.6575340883
S66x8/23-100,-623.657937802
S66x8/23-105,-623.6574460777
S66x8/23-110,-623.6563980007
S66x8/23-125,-623.6518721206
S66x8/23-150,-623.6445568449
S66x8/23-200,-623.6363607942
S66x8/24-A,-232.0358934853
S66x8/24-B,-232.0359336755
S66x8/24-090,-464.0612169053
S66x8/24-095,-464.0658163103
S66x8/24-100,-464.0691484892
S66x8/24-105,-464.0706446615
S66x8/24-110,-464.0709222372
S66x8/24-125,-464.0718374238
S66x8/24-150,-464.0716336098
S66x8/24-200,-464.0715324131
S66x8/25-A,-248.0747377948
S66x8/25-B,-248.0747540606
S66x8/25-090,-496.1409456898
S66x8/25-095,-496.1452369831
S66x8/25-100,-496.1480499838
S66x8/25-105,-496.1497486368
S66x8/25-110,-496.1503165267
S66x8/25-125,-496.1506393514
S66x8/25-150,-496.1500379341
S66x8/25-200,-496.1496450071
S66x8/26-A,-414.5580340115
S66x8/26-B,-414.5580340115
S66x8/26-090,-829.1135166056
S66x8/26-095,-829.118305731
S66x8/26-100,-829.1210096809
S66x8/26-105,-829.1221304925
S66x8/26-110,-829.1222768926
S66x8/26-125,-829.1214867795
S66x8/26-150,-829.1192074993
S66x8/26-200,-829.1172128019
S66x8/27-A,-232.0359199117
S66x8/27-B,-248.0747499586
S66x8/27-090,-480.1010077419
S66x8/27-095,-480.1054738645
S66x8/27-100,-480.1086756838
S66x8/27-105,-480.1104047922
S66x8/27-110,-480.1107485206
S66x8/27-125,-480.1113242869
S66x8/27-150,-480.1108320468
S66x8/27-200,-480.110565951
S66x8/28-A,-232.0359087584
S66x8/28-B,-414.5583745733
S66x8/28-090,-646.5864376537
S66x8/28-095,-646.5906191696
S66x8/28-100,-646.5934802602
S66x8/28-105,-646.5952782823
S66x8/28-110,-646.5959054524
S66x8/28-125,-646.595679757
S66x8/28-150,-646.5948673721
S66x8/28-200,-646.5942242231
S66x8/29-A,-248.074735974
S66x8/29-B,-414.5583247284
S66x8/29-090,-662.6255068431
S66x8/29-095,-662.6311446815
S66x8/29-100,-662.6341247064
S66x8/29-105,-662.6359359764
S66x8/29-110,-662.6365534281
S66x8/29-125,-662.6360187938
S66x8/29-150,-662.634677769
S66x8/29-200,-662.6336371716
S66x8/30-A,-232.0359158951
S66x8/30-B,-78.5070386938
S66x8/30-090,-310.5379274341
S66x8/30-095,-310.5400330266
S66x8/30-100,-310.541561201
S66x8/30-105,-310.5422354499
S66x8/30-110,-310.5423387103
S66x8/30-125,-310.5428058337
S66x8/30-150,-310.5426647855
S66x8/30-200,-310.5427038343
S66x8/31-A,-414.5583905803
S66x8/31-B,-78.507145591
S66x8/31-090,-493.0631048835
S66x8/31-095,-493.0651655411
S66x8/31-100,-493.0663578893
S66x8/31-105,-493.0668957991
S66x8/31-110,-493.0670499498
S66x8/31-125,-493.0669407567
S66x8/31-150,-493.0662736286
S66x8/31-200,-493.0656748548
S66x8/32-A,-414.5583150929
S66x8/32-B,-77.2575191614
S66x8/32-090,-491.814409549
S66x8/32-095,-491.8165036673
S66x8/32-100,-491.8176111982
S66x8/32-105,-491.8180367654
S66x8/32-110,-491.8181280179
S66x8/32-125,-491.8177670375
S66x8/32-150,-491.8167976135
S66x8/32-200,-491.8160008648
S66x8/33-A,-248.0747329687
S66x8/33-B,-78.5069842349
S66x8/33-090,-326.5779723329
S66x8/33-095,-326.5799062967
S66x8/33-100,-326.5810904487
S66x8/33-105,-326.581710424
S66x8/33-110,-326.5819319293
S66x8/33-125,-326.5821717723
S66x8/33-150,-326.5819070016
S66x8/33-200,-326.5817631068
S66x8/34-A,-197.5578430872
S66x8/34-B,-197.5576115009
S66x8/34-090,-395.1116260486
S66x8/34-095,-395.1142094461
S66x8/34-100,-395.1156509792
S66x8/34-105,-395.1164079495
S66x8/34-110,-395.1167959112
S66x8/34-125,-395.1169238341
S66x8/34-150,-395.1164351991
S66x8/34-200,-395.1159991057
S66x8/35-A,-197.5577552396
S66x8/35-B,-197.56041615
S66x8/35-090,-395.115185776
S66x8/35-095,-395.1171241885
S66x8/35-100,-395.1181947494
S66x8/35-105,-395.1187208062
S66x8/35-110,-395.1189455598
S66x8/35-125,-395.118910554
S66x8/35-150,-395.1185197151
S66x8/35-200,-395.1182246488
S66x8/36-A,-197.56047072
S66x8/36-B,-197.5605929891
S66x8/36-090,-395.1191646576
S66x8/36-095,-395.1202138011
S66x8/36-100,-395.1207850175
S66x8/36-105,-395.1210705238
S66x8/36-110,-395.1212081559
S66x8/36-125,-395.1211659893
S66x8/36-150,-395.120887072
S66x8/36-200,-395.1206583859
S66x8/37-A,-196.3553951814
S66x8/37-B,-197.5602614074
S66x8/37-090,-393.9124500603
S66x8/37-095,-393.9144875351
S66x8/37-100,-393.9156043617
S66x8/37-105,-393.9161662397
S66x8/37-110,-393.9164277157
S66x8/37-125,-393.9165148582
S66x8/37-150,-393.916174285
S66x8/37-200,-393.915866754
S66x8/38-A,-196.3552498994
S66x8/38-B,-196.3555266142
S66x8/38-090,-392.70747189
S66x8/38-095,-392.7093817988
S66x8/38-100,-392.7105883734
S66x8/38-105,-392.7111905871
S66x8/38-110,-392.7114462921
S66x8/38-125,-392.7114453283
S66x8/38-150,-392.710997228
S66x8/38-200,-392.7106542443
S66x8/39-A,-232.0359270205
S66x8/39-B,-196.3551682112
S66x8/39-090,-428.3857466306
S66x8/39-095,-428.3887958898
S66x8/39-100,-428.3905799029
S66x8/39-105,-428.3914537173
S66x8/39-110,-428.3917607751
S66x8/39-125,-428.3920757042
S66x8/39-150,-428.3915378645
S66x8/39-200,-428.3910631508
S66x8/40-A,-232.0359337527
S66x8/40-B,-197.5606849905
S66x8/40-090,-429.5924360137
S66x8/40-095,-429.5948229326
S66x8/40-100,-429.5963295452
S66x8/40-105,-429.5968763535
S66x8/40-110,-429.5970347076
S66x8/40-125,-429.5972632311
S66x8/40-150,-429.5967582702
S66x8/40-200,-429.5963011614
S66x8/41-A,-414.5584509422
S66x8/41-B,-197.5580519397
S66x8/41-090,-612.111502134
S66x8/41-095,-612.1146831059
S66x8/41-100,-612.1166032852
S66x8/41-105,-612.1173622406
S66x8/41-110,-612.1175418278
S66x8/41-125,-612.1177990244
S66x8/41-150,-612.1170348433
S66x8/41-200,-612.1165828968
S66x8/42-A,-414.5585628896
S66x8/42-B,-196.3551885626
S66x8/42-090,-610.9083899189
S66x8/42-095,-610.9115055763
S66x8/42-100,-610.9132602639
S66x8/42-105,-610.9141095343
S66x8/42-110,-610.9145024419
S66x8/42-125,-610.9147761663
S66x8/42-150,-610.9142277019
S66x8/42-200,-610.9137523042
S66x8/43-A,-414.5585204907
S66x8/43-B,-197.5601767007
S66x8/43-090,-612.1154165164
S66x8/43-095,-612.1179550458
S66x8/43-100,-612.1192685878
S66x8/43-105,-612.119752585
S66x8/43-110,-612.1199793491
S66x8/43-125,-612.1200537948
S66x8/43-150,-612.1194395475
S66x8/43-200,-612.1189239574
S66x8/44-A,-78.5070499664
S66x8/44-B,-197.5579482622
S66x8/44-090,-276.0635791283
S66x8/44-095,-276.064791027
S66x8/44-100,-276.065410123
S66x8/44-105,-276.0656698593
S66x8/44-110,-276.0657761545
S66x8/44-125,-276.0656973215
S66x8/44-150,-276.0653705786
S66x8/44-200,-276.0651076833
S66x8/45-A,-77.2575020821
S66x8/45-B,-197.5577523099
S66x8/45-090,-274.8133338574
S66x8/45-095,-274.8147270381
S66x8/45-100,-274.8154679202
S66x8/45-105,-274.8158932818
S66x8/45-110,-274.8160557781
S66x8/45-125,-274.8159372345
S66x8/45-150,-274.8155318189
S66x8/45-200,-274.8152585194
S66x8/46-A,-248.338723136
S66x8/46-B,-197.5577331277
S66x8/46-090,-445.8940683517
S66x8/46-095,-445.8960207256
S66x8/46-100,-445.8971796237
S66x8/46-105,-445.8977612494
S66x8/46-110,-445.8980030571
S66x8/46-125,-445.8981071532
S66x8/46-150,-445.897406288
S66x8/46-200,-445.8967435851
S66x8/47-A,-232.0359266762
S66x8/47-B,-232.0359473613
S66x8/47-090,-464.0683942828
S66x8/47-095,-464.0707461088
S66x8/47-100,-464.0720167764
S66x8/47-105,-464.0727054031
S66x8/47-110,-464.0729500334
S66x8/47-125,-464.0729153213
S66x8/47-150,-464.0723570683
S66x8/47-200,-464.0718810863
S66x8/48-A,-248.0747531318
S66x8/48-B,-248.0747557709
S66x8/48-090,-496.1477370551
S66x8/48-095,-496.1496561756
S66x8/48-100,-496.150757851
S66x8/48-105,-496.151353051
S66x8/48-110,-496.1515109596
S66x8/48-125,-496.15136159
S66x8/48-150,-496.1505886126
S66x8/48-200,-496.1498542698
S66x8/49-A,-232.0359337921
S66x8/49-B,-248.0747265579
S66x8/49-090,-480.1077845434
S66x8/49-095,-480.1101971034
S66x8/49-100,-480.1114432243
S66x8/49-105,-480.1121056889
S66x8/49-110,-480.1123416311
S66x8/49-125,-480.1121657307
S66x8/49-150,-480.1114461903
S66x8/49-200,-480.1107837106
S66x8/50-A,-232.0359166411
S66x8/50-B,-77.2575692513
S66x8/50-090,-309.2931955476
S66x8/50-095,-309.2947736073
S66x8/50-100,-309.2954339194
S66x8/50-105,-309.2957924305
S66x8/50-110,-309.2958660167
S66x8/50-125,-309.2954002845
S66x8/50-150,-309.2944812603
S66x8/50-200,-309.2937601887
S66x8/51-A,-77.2575099794
S66x8/51-B,-77.2575661959
S66x8/51-090,-154.5164322327
S66x8/51-095,-154.5168807244
S66x8/51-100,-154.5170178781
S66x8/51-105,-154.5169812379
S66x8/51-110,-154.5168543717
S66x8/51-125,-154.5163325947
S66x8/51-150,-154.5156737463
S66x8/51-200,-154.5152032222
S66x8/52-A,-232.0359105358
S66x8/52-B,-228.9441915796
S66x8/52-090,-460.9819202558
S66x8/52-095,-460.9833584725
S66x8/52-100,-460.9840485337
S66x8/52-105,-460.9842923496
S66x8/52-110,-460.98424139
S66x8/52-125,-460.9833701845
S66x8/52-150,-460.9819583558
S66x8/52-200,-460.980657179
S66x8/53-A,-232.035896366
S66x8/53-B,-209.0726472606
S66x8/53-090,-441.1106821204
S66x8/53-095,-441.1118057283
S66x8/53-100,-441.112337447
S66x8/53-105,-441.1124882701
S66x8/53-110,-441.1124190836
S66x8/53-125,-441.1116572707
S66x8/53-150,-441.110314772
S66x8/53-200,-441.1089667256
S66x8/54-A,-232.0359225671
S66x8/54-B,-76.3866355873
S66x8/54-090,-308.4250384325
S66x8/54-095,-308.4260945003
S66x8/54-100,-308.4264834653
S66x8/54-105,-308.4264632552
S66x8/54-110,-308.4262546051
S66x8/54-125,-308.4254377146
S66x8/54-150,-308.4242362528
S66x8/54-200,-308.423157115
S66x8/55-A,-232.0359243106
S66x8/55-B,-115.6404679979
S66x8/55-090,-347.6774935921
S66x8/55-095,-347.6789040544
S66x8/55-100,-347.6796128843
S66x8/55-105,-347.6799405798
S66x8/55-110,-347.6799791974
S66x8/55-125,-347.6792091906
S66x8/55-150,-347.6779876425
S66x8/55-200,-347.6768720052
S66x8/56-A,-232.0359239674
S66x8/56-B,-95.7744023591
S66x8/56-090,-327.8093930528
S66x8/56-095,-327.8109104678
S66x8/56-100,-327.8117727638
S66x8/56-105,-327.8122920434
S66x8/56-110,-327.8124394046
S66x8/56-125,-327.8120757211
S66x8/56-150,-327.8112885914
S66x8/56-200,-327.8105920175
S66x8/57-A,-232.0359380663
S66x8/57-B,-248.3386906562
S66x8/57-090,-480.3729037502
S66x8/57-095,-480.3758743532
S66x8/57-100,-480.3773189674
S66x8/57-105,-480.3780161253
S66x8/57-110,-480.3782968336
S66x8/57-125,-480.3776991618
S66x8/57-150,-480.3764059372
S66x8/57-200,-480.3752355727
S66x8/58-A,-248.0747523874
S66x8/58-B,-248.0747234666
S66x8/58-090,-496.150877148
S66x8/58-095,-496.1526956146
S66x8/58-100,-496.1536215711
S66x8/58-105,-496.1536240481
S66x8/58-110,-496.1532954183
S66x8/58-125,-496.1520584659
S66x8/58-150,-496.1507117316
S66x8/58-200,-496.1498246922
S66x8/59-A,-77.2576189847
S66x8/59-B,-76.3866902792
S66x8/59-090,-153.6478949382
S66x8/59-095,-153.6482711931
S66x8/59-100,-153.6483129465
S66x8/59-105,-153.6481643984
S66x8/59-110,-153.6479075937
S66x8/59-125,-153.6469416915
S66x8/59-150,-153.6456315231
S66x8/59-200,-153.6444402247
S66x8/60-A,-77.2575382529
S66x8/60-B,-228.9441765079
S66x8/60-090,-306.2075189299
S66x8/60-095,-306.2082740911
S66x8/60-100,-306.2084249119
S66x8/60-105,-306.208220035
S66x8/60-110,-306.2078262204
S66x8/60-125,-306.2063103776
S66x8/60-150,-306.2042469049
S66x8/60-200,-306.2024846717
S66x8/61-A,-197.5578329721
S66x8/61-B,-228.9442067616
S66x8/61-090,-426.50093749
S66x8/61-095,-426.5020062787
S66x8/61-100,-426.5026295726
S66x8/61-105,-426.5029537674
S66x8/61-110,-426.5031135474
S66x8/61-125,-426.5031519317
S66x8/61-150,-426.5025863295
S66x8/61-200,-426.5021616093
S66x8/62-A,-197.5578579583
S66x8/62-B,-209.0726046961
S66x8/62-090,-406.6292489122
S66x8/62-095,-406.6306845478
S66x8/62-100,-406.6314735405
S66x8/62-105,-406.6318808581
S66x8/62-110,-406.6320702566
S66x8/62-125,-406.6319161387
S66x8/62-150,-406.6312807976
S66x8/62-200,-406.6306217567
S66x8/63-A,-232.0359051972
S66x8/63-B,-228.9442085455
S66x8/63-090,-460.9773832565
S66x8/63-095,-460.9796835042
S66x8/63-100,-460.9810033669
S66x8/63-105,-460.981718202
S66x8/63-110,-460.9818681184
S66x8/63-125,-460.9817714024
S66x8/63-150,-460.9809040953
S66x8/63-200,-460.980224501
S66x8/64-A,-248.3385718459
S66x8/64-B,-78.5071570003
S66x8/64-090,-326.8457763252
S66x8/64-095,-326.8468905466
S66x8/64-100,-326.8474649622
S66x8/64-105,-326.8476809892
S66x8/64-110,-326.847691048
S66x8/64-125,-326.8473786841
S66x8/64-150,-326.8465164275
S66x8/64-200,-326.8458051489
S66x8/65-A,-248.0747285203
S66x8/65-B,-77.2572838895
S66x8/65-090,-325.3377057399
S66x8/65-095,-325.3381712129
S66x8/65-100,-325.3382262192
S66x8/65-105,-325.3380373448
S66x8/65-110,-325.3377089383
S66x8/65-125,-325.3364584055
S66x8/65-150,-325.3347364304
S66x8/65-200,-325.3331802338
S66x8/66-A,-95.7743109915
S66x8/66-B,-248.074719947
S66x8/66-090,-343.8505158689
S66x8/66-095,-343.8515598928
S66x8/66-100,-343.8521345367
S66x8/66-105,-343.8523858502
S66x8/66-110,-343.8524016631
S66x8/66-125,-343.8518671971
