system,BLYP/def2-QZVP/Q-Chem
S66x8/05-125,-231.4939314858
S66x8/05-150,-231.4918961131
S66x8/05-200,-231.4900038456
S66x8/06-A,-115.7440774749
S66x8/06-B,-95.8587483235
S66x8/06-090,-211.6104401188
S66x8/06-095,-211.6116349382
S66x8/06-100,-211.6120948869
S66x8/06-105,-211.6120726293
S66x8/06-110,-211.6117387708
S66x8/06-125,-211.6100113948
S66x8/06-150,-211.6072501825
S66x8/06-200,-211.6045440671
S66x8/07-A,-115.7441916606
S66x8/07-B,-248.5555942259
S66x8/07-090,-364.307511001
S66x8/07-095,-364.3086828096
S66x8/07-100,-364.3091495598
S66x8/07-105,-364.3091580771
S66x8/07-110,-364.308863682
S66x8/07-125,-364.3072314716
S66x8/07-150,-364.3042080253
S66x8/07-200,-364.3011837728
S66x8/08-A,-115.7442063872
S66x8/08-B,-76.4559229092
S66x8/08-090,-192.2059374917
S66x8/08-095,-192.2066773889
S66x8/08-100,-192.2068894329
S66x8/08-105,-192.2067742575
S66x8/08-110,-192.2064665365
S66x8/08-125,-192.2051395765
S66x8/08-150,-192.2032148881
S66x8/08-200,-192.2014414829
S66x8/09-A,-95.8586132742
S66x8/09-B,-115.7443460491
S66x8/09-090,-211.6040127386
S66x8/09-095,-211.604798423
S66x8/09-100,-211.6051569728
S66x8/09-105,-211.60526858
S66x8/09-110,-211.6052372262
S66x8/09-125,-211.6047794197
S66x8/09-150,-211.6040777767
S66x8/09-200,-211.603510889
S66x8/10-A,-95.8586963983
S66x8/10-B,-95.8587015202
S66x8/10-090,-191.7182857187
S66x8/10-095,-191.7194979651
S66x8/10-100,-191.7201030118
S66x8/10-105,-191.7203181989
S66x8/10-110,-191.7203062753
S66x8/10-125,-191.719733824
S66x8/10-150,-191.718528642
S66x8/10-200,-191.717806823
S66x8/11-A,-95.8586096083
S66x8/11-B,-248.5557595674
S66x8/11-090,-344.4150511298
S66x8/11-095,-344.4164708217
S66x8/11-100,-344.4172675317
S66x8/11-105,-344.4176362961
S66x8/11-110,-344.4177180014
S66x8/11-125,-344.4168343674
S66x8/11-150,-344.4155794724
S66x8/11-200,-344.4149184317
S66x8/12-A,-95.8587175717
S66x8/12-B,-76.456066785
S66x8/12-090,-172.3229407833
S66x8/12-095,-172.3239307252
S66x8/12-100,-172.3242217242
S66x8/12-105,-172.3240713224
S66x8/12-110,-172.3236572596
S66x8/12-125,-172.3218168434
S66x8/12-150,-172.3189867157
S66x8/12-200,-172.3163401678
S66x8/13-A,-248.5557705433
S66x8/13-B,-115.7444443167
S66x8/13-090,-364.3036993895
S66x8/13-095,-364.3049272802
S66x8/13-100,-364.3055390707
S66x8/13-105,-364.3057528845
S66x8/13-110,-364.3057132998
S66x8/13-125,-364.3049077673
S66x8/13-150,-364.3033337516
S66x8/13-200,-364.3017769115
S66x8/14-A,-248.5556195927
S66x8/14-B,-95.8587503458
S66x8/14-090,-344.4192932667
S66x8/14-095,-344.4207181476
S66x8/14-100,-344.4214387798
S66x8/14-105,-344.4216830818
S66x8/14-110,-344.4216040162
S66x8/14-125,-344.4204690842
S66x8/14-150,-344.4183744285
S66x8/14-200,-344.4161697107
S66x8/15-A,-248.5557649608
S66x8/15-B,-248.5558625524
S66x8/15-090,-497.1167380266
S66x8/15-095,-497.1182299489
S66x8/15-100,-497.1190016708
S66x8/15-105,-497.1192755765
S66x8/15-110,-497.1192231537
S66x8/15-125,-497.1182092778
S66x8/15-150,-497.1162132494
S66x8/15-200,-497.1137172588
S66x8/16-A,-248.5558723121
S66x8/16-B,-76.4559191421
S66x8/16-090,-325.0163774774
S66x8/16-095,-325.0172405124
S66x8/16-100,-325.0175860841
S66x8/16-105,-325.0176086873
S66x8/16-110,-325.0174386497
S66x8/16-125,-325.0164643636
S66x8/16-150,-325.0149130181
S66x8/16-200,-325.0133697902
S66x8/17-A,-414.9228416954
S66x8/17-B,-414.9228394948
S66x8/17-090,-829.8638434999
S66x8/17-095,-829.8663369903
S66x8/17-100,-829.8672949688
S66x8/17-105,-829.8672415792
S66x8/17-110,-829.8665434745
S66x8/17-125,-829.8627771204
S66x8/17-150,-829.8565071254
S66x8/17-200,-829.8500462815
S66x8/18-A,-76.4558731837
S66x8/18-B,-248.2984645868
S66x8/18-090,-324.7630169137
S66x8/18-095,-324.763815228
S66x8/18-100,-324.763993941
S66x8/18-105,-324.7637767193
S66x8/18-110,-324.7633148926
S66x8/18-125,-324.7614062948
S66x8/18-150,-324.7586398396
S66x8/18-200,-324.7561292264
S66x8/19-A,-115.7440830315
S66x8/19-B,-248.2984623953
S66x8/19-090,-364.050090352
S66x8/19-095,-364.0511992178
S66x8/19-100,-364.0516085774
S66x8/19-105,-364.0515599444
S66x8/19-110,-364.0514636475
S66x8/19-125,-364.049444924
S66x8/19-150,-364.0469377124
S66x8/19-200,-364.044284752
S66x8/20-A,-229.1466410645
S66x8/20-B,-229.1466583581
S66x8/20-090,-458.3160408817
S66x8/20-095,-458.3186914785
S66x8/20-100,-458.3196103152
S66x8/20-105,-458.3193665643
S66x8/20-110,-458.3184010882
S66x8/20-125,-458.3135909394
S66x8/20-150,-458.3059688819
S66x8/20-200,-458.2981720088
S66x8/21-A,-209.2571426683
S66x8/21-B,-209.2571458479
S66x8/21-090,-418.5321368397
S66x8/21-095,-418.5343740211
S66x8/21-100,-418.5351948325
S66x8/21-105,-418.5351100442
S66x8/21-110,-418.5344386713
S66x8/21-125,-418.5309224843
S66x8/21-150,-418.5250696301
S66x8/21-200,-418.5185013505
S66x8/22-A,-229.1466044897
S66x8/22-B,-414.9225337581
S66x8/22-090,-644.0916138899
S66x8/22-095,-644.0941823731
S66x8/22-100,-644.0951243695
S66x8/22-105,-644.0949833063
S66x8/22-110,-644.0941622405
S66x8/22-125,-644.0898777661
S66x8/22-150,-644.082591831
S66x8/22-200,-644.0748496128
S66x8/23-A,-209.2569740529
S66x8/23-B,-414.9225558695
S66x8/23-090,-624.2010798312
S66x8/23-095,-624.2035399006
S66x8/23-100,-624.2045177001
S66x8/23-105,-624.2044956448
S66x8/23-110,-624.2038275461
S66x8/23-125,-624.2000782107
S66x8/23-150,-624.19343429
S66x8/23-200,-624.1859951093
S66x8/24-A,-232.24451639
S66x8/24-B,-232.2445730306
S66x8/24-090,-464.4715142496
S66x8/24-095,-464.4776717402
S66x8/24-100,-464.481961764
S66x8/24-105,-464.4842524006
S66x8/24-110,-464.4852894167
S66x8/24-125,-464.4874637584
S66x8/24-150,-464.4884763583
S66x8/24-200,-464.4889327855
S66x8/25-A,-248.2984865632
S66x8/25-B,-248.2984938173
S66x8/25-090,-496.5810649197
S66x8/25-095,-496.586969284
S66x8/25-100,-496.5908610564
S66x8/25-105,-496.5933144237
S66x8/25-110,-496.5945805285
S66x8/25-125,-496.5962286171
S66x8/25-150,-496.5968736138
S66x8/25-200,-496.5971260572
S66x8/26-A,-414.9232313851
S66x8/26-B,-414.9232313852
S66x8/26-090,-829.8353164039
S66x8/26-095,-829.841638012
S66x8/26-100,-829.8454719848
S66x8/26-105,-829.8474793239
S66x8/26-110,-829.8483342209
S66x8/26-125,-829.8489763442
S66x8/26-150,-829.8482515548
S66x8/26-200,-829.8474432993
S66x8/27-A,-232.2445413148
S66x8/27-B,-248.298484316
S66x8/27-090,-480.5260633355
S66x8/27-095,-480.5322292865
S66x8/27-100,-480.536432942
S66x8/27-105,-480.5389669052
S66x8/27-110,-480.5400662808
S66x8/27-125,-480.5419135369
S66x8/27-150,-480.5426437997
S66x8/27-200,-480.5429666127
S66x8/28-A,-232.2446119774
S66x8/28-B,-414.923588696
S66x8/28-090,-647.1519193768
S66x8/28-095,-647.1579414703
S66x8/28-100,-647.1619353031
S66x8/28-105,-647.1644615628
S66x8/28-110,-647.1658501134
S66x8/28-125,-647.1671794077
S66x8/28-150,-647.1677798846
S66x8/28-200,-647.1680410854
S66x8/29-A,-248.2985146209
S66x8/29-B,-414.923488906
S66x8/29-090,-663.2057696791
S66x8/29-095,-663.2135155933
S66x8/29-100,-663.2179189991
S66x8/29-105,-663.2205663911
S66x8/29-110,-663.2219068552
S66x8/29-125,-663.2229001845
S66x8/29-150,-663.2229139735
S66x8/29-200,-663.222620582
S66x8/30-A,-232.2445472967
S66x8/30-B,-78.5835376328
S66x8/30-090,-310.8184305815
S66x8/30-095,-310.8214980294
S66x8/30-100,-310.8236316136
S66x8/30-105,-310.8248548643
S66x8/30-110,-310.8254617677
S66x8/30-125,-310.8267162976
S66x8/30-150,-310.827382589
S66x8/30-200,-310.8278724407
S66x8/31-A,-414.9235397278
S66x8/31-B,-78.5836321291
S66x8/31-090,-493.5000344278
S66x8/31-095,-493.5028970091
S66x8/31-100,-493.5046857092
S66x8/31-105,-493.5057081725
S66x8/31-110,-493.5062848668
S66x8/31-125,-493.5070280079
S66x8/31-150,-493.5072784838
S66x8/31-200,-493.5072734184
S66x8/32-A,-414.9234292097
S66x8/32-B,-77.3396788331
S66x8/32-090,-492.2572992445
S66x8/32-095,-492.260155748
S66x8/32-100,-492.261784408
S66x8/32-105,-492.2627068981
S66x8/32-110,-492.2632165627
S66x8/32-125,-492.2636224881
S66x8/32-150,-492.2634859305
S66x8/32-200,-492.2632372542
S66x8/33-A,-248.2984557921
S66x8/33-B,-78.5834880977
S66x8/33-090,-326.8735893987
S66x8/33-095,-326.8764106174
S66x8/33-100,-326.8781766175
S66x8/33-105,-326.8792921916
S66x8/33-110,-326.879982417
S66x8/33-125,-326.8810064161
S66x8/33-150,-326.8815652377
S66x8/33-200,-326.8819481964
S66x8/34-A,-197.7219684612
S66x8/34-B,-197.7217981356
S66x8/34-090,-395.4331005165
S66x8/34-095,-395.4366833647
S66x8/34-100,-395.438951413
S66x8/34-105,-395.4404174354
S66x8/34-110,-395.441302791
S66x8/34-125,-395.442652879
S66x8/34-150,-395.4435363749
S66x8/34-200,-395.4441217961
S66x8/35-A,-197.7219044042
S66x8/35-B,-197.7227237138
S66x8/35-090,-395.4365324169
S66x8/35-095,-395.4393064244
S66x8/35-100,-395.4409689119
S66x8/35-105,-395.4420334456
S66x8/35-110,-395.442650598
S66x8/35-125,-395.4435427103
S66x8/35-150,-395.4441372235
S66x8/35-200,-395.4445284993
S66x8/36-A,-197.7227295162
S66x8/36-B,-197.7228585934
S66x8/36-090,-395.4400207303
S66x8/36-095,-395.4415292731
S66x8/36-100,-395.4425045169
S66x8/36-105,-395.4431514093
S66x8/36-110,-395.4435406221
S66x8/36-125,-395.444232606
S66x8/36-150,-395.4446975467
S66x8/36-200,-395.4449850308
S66x8/37-A,-196.5147257975
S66x8/37-B,-197.7223869438
S66x8/37-090,-394.2291124877
S66x8/37-095,-394.2319718363
S66x8/37-100,-394.2336655265
S66x8/37-105,-394.2347109497
S66x8/37-110,-394.2353856847
S66x8/37-125,-394.2363075697
S66x8/37-150,-394.2368977789
S66x8/37-200,-394.2373119678
S66x8/38-A,-196.5145359394
S66x8/38-B,-196.5147789411
S66x8/38-090,-393.0208887291
S66x8/38-095,-393.0235539306
S66x8/38-100,-393.0253336618
S66x8/38-105,-393.0264776007
S66x8/38-110,-393.0271807514
S66x8/38-125,-393.0280727913
S66x8/38-150,-393.0286557068
S66x8/38-200,-393.029063297
S66x8/39-A,-232.2445646486
S66x8/39-B,-196.5144305072
S66x8/39-090,-428.7473638512
S66x8/39-095,-428.7515276384
S66x8/39-100,-428.754201144
S66x8/39-105,-428.7557702676
S66x8/39-110,-428.7566134066
S66x8/39-125,-428.7580710303
S66x8/39-150,-428.7586721003
S66x8/39-200,-428.7589432083
S66x8/40-A,-232.244578124
S66x8/40-B,-197.72287176
S66x8/40-090,-429.9580739979
S66x8/40-095,-429.9613826022
S66x8/40-100,-429.9635664288
S66x8/40-105,-429.9646567274
S66x8/40-110,-429.965279715
S66x8/40-125,-429.9664740046
S66x8/40-150,-429.9669547406
S66x8/40-200,-429.9671076866
S66x8/41-A,-414.9236487726
S66x8/41-B,-197.7222030841
S66x8/41-090,-612.6336740546
S66x8/41-095,-612.6379807503
S66x8/41-100,-612.6407715043
S66x8/41-105,-612.642300953
S66x8/41-110,-612.6431367214
S66x8/41-125,-612.6448906808
S66x8/41-150,-612.6455076923
S66x8/41-200,-612.6458728231
S66x8/42-A,-414.9237755245
S66x8/42-B,-196.514498934
S66x8/42-090,-611.4266395629
S66x8/42-095,-611.4308347439
S66x8/42-100,-611.4333727354
S66x8/42-105,-611.4348852384
S66x8/42-110,-611.4357722815
S66x8/42-125,-611.4371874713
S66x8/42-150,-611.4378468882
S66x8/42-200,-611.4381885292
S66x8/43-A,-414.923690635
S66x8/43-B,-197.7225271429
S66x8/43-090,-612.6375568979
S66x8/43-095,-612.6409810932
S66x8/43-100,-612.6429655643
S66x8/43-105,-612.6439873042
S66x8/43-110,-612.6446331826
S66x8/43-125,-612.6457184761
S66x8/43-150,-612.6461332189
S66x8/43-200,-612.6463041499
S66x8/44-A,-78.5835471401
S66x8/44-B,-197.7220421599
S66x8/44-090,-276.3003659096
S66x8/44-095,-276.3021129933
S66x8/44-100,-276.3032095969
S66x8/44-105,-276.3038659097
S66x8/44-110,-276.30423634
S66x8/44-125,-276.3049176243
S66x8/44-150,-276.3053915111
S66x8/44-200,-276.305686873
S66x8/45-A,-77.339672432
S66x8/45-B,-197.7218787755
S66x8/45-090,-275.0558493873
S66x8/45-095,-275.0578102964
S66x8/45-100,-275.0590619919
S66x8/45-105,-275.059892253
S66x8/45-110,-275.0603424122
S66x8/45-125,-275.0609729473
S66x8/45-150,-275.0612987936
S66x8/45-200,-275.061474402
S66x8/46-A,-248.5559871142
S66x8/46-B,-197.721900447
S66x8/46-090,-446.2693651294
S66x8/46-095,-446.2721074728
S66x8/46-100,-446.2739332424
S66x8/46-105,-446.2750775349
S66x8/46-110,-446.2757580072
S66x8/46-125,-446.2769384586
S66x8/46-150,-446.2776372623
S66x8/46-200,-446.2780070032
S66x8/47-A,-232.2445820113
S66x8/47-B,-232.2446577161
S66x8/47-090,-464.4810081972
S66x8/47-095,-464.4842403041
S66x8/47-100,-464.4861891555
S66x8/47-105,-464.487372761
S66x8/47-110,-464.4880024102
S66x8/47-125,-464.4888129482
S66x8/47-150,-464.4890779161
S66x8/47-200,-464.4891826961
S66x8/48-A,-248.2985197641
S66x8/48-B,-248.2985109822
S66x8/48-090,-496.5908147343
S66x8/48-095,-496.5934981137
S66x8/48-100,-496.5951675691
S66x8/48-105,-496.5961919552
S66x8/48-110,-496.596707316
S66x8/48-125,-496.5973147153
S66x8/48-150,-496.5973676794
S66x8/48-200,-496.5973082922
S66x8/49-A,-232.2445877278
S66x8/49-B,-248.2984713108
S66x8/49-090,-480.5353931825
S66x8/49-095,-480.5387053718
S66x8/49-100,-480.5406339506
S66x8/49-105,-480.5418050644
S66x8/49-110,-480.5424285274
S66x8/49-125,-480.5431216779
S66x8/49-150,-480.5432279505
S66x8/49-200,-480.5431517435
S66x8/50-A,-232.2445810765
S66x8/50-B,-77.3397212792
S66x8/50-090,-309.5802546239
S66x8/50-095,-309.5825396127
S66x8/50-100,-309.5837116676
S66x8/50-105,-309.5844790137
S66x8/50-110,-309.5848648585
S66x8/50-125,-309.5850960115
S66x8/50-150,-309.5848354278
S66x8/50-200,-309.5845654002
S66x8/51-A,-77.3396795758
S66x8/51-B,-77.33972301
S66x8/51-090,-154.6790043026
S66x8/51-095,-154.6797157461
S66x8/51-100,-154.6800561165
S66x8/51-105,-154.6801865241
S66x8/51-110,-154.6802049351
S66x8/51-125,-154.6800239621
S66x8/51-150,-154.6797285733
S66x8/51-200,-154.679501843
S66x8/52-A,-232.2445767289
S66x8/52-B,-229.1483415244
S66x8/52-090,-461.3900901787
S66x8/52-095,-461.392249478
S66x8/52-100,-461.3935225634
S66x8/52-105,-461.3942361172
S66x8/52-110,-461.3945560882
S66x8/52-125,-461.3945182434
S66x8/52-150,-461.3939190033
S66x8/52-200,-461.3933632479
S66x8/53-A,-232.244561693
S66x8/53-B,-209.2578203572
S66x8/53-090,-441.5007259973
S66x8/53-095,-441.5023609627
S66x8/53-100,-441.5033154684
S66x8/53-105,-441.5038231337
S66x8/53-110,-441.5040514306
S66x8/53-125,-441.5039200154
S66x8/53-150,-441.5033476119
S66x8/53-200,-441.5027259263
S66x8/54-A,-232.2445941833
S66x8/54-B,-76.4558275438
S66x8/54-090,-308.6996312036
S66x8/54-095,-308.7012006524
S66x8/54-100,-308.70200274
S66x8/54-105,-308.7023083908
S66x8/54-110,-308.7023652012
S66x8/54-125,-308.7021448462
S66x8/54-150,-308.7015765355
S66x8/54-200,-308.700996821
S66x8/55-A,-232.2446080407
S66x8/55-B,-115.7442505744
S66x8/55-090,-347.9853134905
S66x8/55-095,-347.987447985
S66x8/55-100,-347.9887115987
S66x8/55-105,-347.9894977257
S66x8/55-110,-347.9899330387
S66x8/55-125,-347.9899687849
S66x8/55-150,-347.9896055716
S66x8/55-200,-347.9892386701
S66x8/56-A,-232.2445815009
S66x8/56-B,-95.8585704079
S66x8/56-090,-328.0976949264
S66x8/56-095,-328.0999405303
S66x8/56-100,-328.1013485523
S66x8/56-105,-328.1023576968
S66x8/56-110,-328.1029255156
S66x8/56-125,-328.1034084227
S66x8/56-150,-328.1034732435
S66x8/56-200,-328.103377254
S66x8/57-A,-232.2446171585
S66x8/57-B,-248.5559255309
S66x8/57-090,-480.7924071043
S66x8/57-095,-480.7965648177
S66x8/57-100,-480.7988765771
S66x8/57-105,-480.8002679817
S66x8/57-110,-480.801104626
S66x8/57-125,-480.8016065312
S66x8/57-150,-480.8014098326
S66x8/57-200,-480.8010482858
S66x8/58-A,-248.2985294137
S66x8/58-B,-248.2985107579
S66x8/58-090,-496.5950202628
S66x8/58-095,-496.5974258405
S66x8/58-100,-496.5989259755
S66x8/58-105,-496.599295864
S66x8/58-110,-496.5992536649
S66x8/58-125,-496.5985762048
S66x8/58-150,-496.5978065026
S66x8/58-200,-496.5973417143
S66x8/59-A,-77.3397540536
S66x8/59-B,-76.4559002272
S66x8/59-090,-153.7977876836
S66x8/59-095,-153.7983369209
S66x8/59-100,-153.7985177656
S66x8/59-105,-153.798480116
S66x8/59-110,-153.7983167268
S66x8/59-125,-153.7975858982
S66x8/59-150,-153.7965776215
S66x8/59-200,-153.795694789
S66x8/60-A,-77.3396907001
S66x8/60-B,-229.1483373466
S66x8/60-090,-306.4903870817
S66x8/60-095,-306.4916380017
S66x8/60-100,-306.4921854403
S66x8/60-105,-306.4923100531
S66x8/60-110,-306.4921832098
S66x8/60-125,-306.4912446089
S66x8/60-150,-306.4897743766
S66x8/60-200,-306.4886069253
S66x8/61-A,-197.7220195559
S66x8/61-B,-229.1483395299
S66x8/61-090,-426.8648410424
S66x8/61-095,-426.8664236967
S66x8/61-100,-426.8674793447
S66x8/61-105,-426.8681586252
S66x8/61-110,-426.8686066007
S66x8/61-125,-426.869463262
S66x8/61-150,-426.8699888886
S66x8/61-200,-426.8703541529
S66x8/62-A,-197.7220071339
S66x8/62-B,-209.2577880432
S66x8/62-090,-406.9735124003
S66x8/62-095,-406.9756410984
S66x8/62-100,-406.977000754
S66x8/62-105,-406.9778297755
S66x8/62-110,-406.9783697541
S66x8/62-125,-406.979135136
S66x8/62-150,-406.9795494833
S66x8/62-200,-406.9797944403
S66x8/63-A,-232.244543855
S66x8/63-B,-229.1483440873
S66x8/63-090,-461.3847393603
S66x8/63-095,-461.3880748651
S66x8/63-100,-461.3901486747
S66x8/63-105,-461.3914037893
S66x8/63-110,-461.3920143312
S66x8/63-125,-461.3929016135
S66x8/63-150,-461.393032516
S66x8/63-200,-461.3930093617
S66x8/64-A,-248.5558598136
S66x8/64-B,-78.583616266
S66x8/64-090,-327.1359713032
S66x8/64-095,-327.1375460497
S66x8/64-100,-327.1384742846
S66x8/64-105,-327.1390117388
S66x8/64-110,-327.1392919234
S66x8/64-125,-327.1396041024
S66x8/64-150,-327.1395640421
S66x8/64-200,-327.1395316513
S66x8/65-A,-248.2984863614
S66x8/65-B,-77.3394298067
S66x8/65-090,-325.6415879726
S66x8/65-095,-325.6423297178
S66x8/65-100,-325.6426087339
S66x8/65-105,-325.6425992587
S66x8/65-110,-325.6424223446
S66x8/65-125,-325.6414994423
S66x8/65-150,-325.6401274664
S66x8/65-200,-325.6389464544
S66x8/66-A,-95.8584947465
S66x8/66-B,-248.2984863438
S66x8/66-090,-344.1546350299
S66x8/66-095,-344.1561914172
S66x8/66-100,-344.157183295
S66x8/66-105,-344.1577870558
S66x8/66-110,-344.1580911682
S66x8/66-125,-344.1581943781
S66x8/66-150,-344.1578723621
