system,PBE20/def2-QZVP/Q-Chem
S66x8/07-110,-364.0049819953
S66x8/07-125,-364.0028331607
S66x8/07-150,-363.9992238899
S66x8/07-200,-363.995527777
S66x8/08-A,-115.6454331168
S66x8/08-B,-76.3862783894
S66x8/08-090,-192.0393214839
S66x8/08-095,-192.039776513
S66x8/08-100,-192.0397695325
S66x8/08-105,-192.0394845243
S66x8/08-110,-192.0390405114
S66x8/08-125,-192.0374510631
S66x8/08-150,-192.0352673493
S66x8/08-200,-192.0331851085
S66x8/09-A,-95.7836161332
S66x8/09-B,-115.6454449551
S66x8/09-090,-211.4321987422
S66x8/09-095,-211.4326968521
S66x8/09-100,-211.4328302521
S66x8/09-105,-211.4327495571
S66x8/09-110,-211.4325509036
S66x8/09-125,-211.4317269194
S66x8/09-150,-211.4306223313
S66x8/09-200,-211.429671784
S66x8/10-A,-95.783626512
S66x8/10-B,-95.7835974575
S66x8/10-090,-191.5712423189
S66x8/10-095,-191.5719873816
S66x8/10-100,-191.5722248863
S66x8/10-105,-191.5721597524
S66x8/10-110,-191.5719117558
S66x8/10-125,-191.5708089553
S66x8/10-150,-191.5689634641
S66x8/10-200,-191.5677429851
S66x8/11-A,-95.783496127
S66x8/11-B,-248.34872528
S66x8/11-090,-344.1368682382
S66x8/11-095,-344.1377807811
S66x8/11-100,-344.1381500915
S66x8/11-105,-344.1381724463
S66x8/11-110,-344.1379771334
S66x8/11-125,-344.1362177549
S66x8/11-150,-344.1341187554
S66x8/11-200,-344.1329381935
S66x8/12-A,-95.7835835862
S66x8/12-B,-76.3859571878
S66x8/12-090,-172.1806516401
S66x8/12-095,-172.1812368626
S66x8/12-100,-172.1811955473
S66x8/12-105,-172.1807708655
S66x8/12-110,-172.1801334967
S66x8/12-125,-172.1778384555
S66x8/12-150,-172.1746233643
S66x8/12-200,-172.1715796967
S66x8/13-A,-248.3486998315
S66x8/13-B,-115.6454367206
S66x8/13-090,-364.0008151421
S66x8/13-095,-364.0016354647
S66x8/13-100,-364.0019178385
S66x8/13-105,-364.0018569563
S66x8/13-110,-364.0015868416
S66x8/13-125,-364.0002756408
S66x8/13-150,-363.9981921045
S66x8/13-200,-363.9960011169
S66x8/14-A,-248.3485003546
S66x8/14-B,-95.7835885128
S66x8/14-090,-344.1409361022
S66x8/14-095,-344.1418394117
S66x8/14-100,-344.142111868
S66x8/14-105,-344.1419806621
S66x8/14-110,-344.1415947913
S66x8/14-125,-344.1398043304
S66x8/14-150,-344.1370792258
S66x8/14-200,-344.134233928
S66x8/15-A,-248.3488177874
S66x8/15-B,-248.3488978436
S66x8/15-090,-496.7071421826
S66x8/15-095,-496.7081204601
S66x8/15-100,-496.7084658837
S66x8/15-105,-496.7083853471
S66x8/15-110,-496.7080296763
S66x8/15-125,-496.7063261223
S66x8/15-150,-496.7036045947
S66x8/15-200,-496.7001941514
S66x8/16-A,-248.3489917166
S66x8/16-B,-76.3862802997
S66x8/16-090,-324.7420796581
S66x8/16-095,-324.7426580591
S66x8/16-100,-324.7427799788
S66x8/16-105,-324.7426146678
S66x8/16-110,-324.742287701
S66x8/16-125,-324.7409804009
S66x8/16-150,-324.7390405329
S66x8/16-200,-324.7370479228
S66x8/17-A,-414.5541298543
S66x8/17-B,-414.5542232199
S66x8/17-090,-829.1322060461
S66x8/17-095,-829.1337936366
S66x8/17-100,-829.1340172762
S66x8/17-105,-829.1333739755
S66x8/17-110,-829.1322075263
S66x8/17-125,-829.1275146243
S66x8/17-150,-829.1204899809
S66x8/17-200,-829.1132739834
S66x8/18-A,-76.3862840323
S66x8/18-B,-248.0864427395
S66x8/18-090,-324.4830822513
S66x8/18-095,-324.4835624131
S66x8/18-100,-324.4834827846
S66x8/18-105,-324.4830575034
S66x8/18-110,-324.4824334063
S66x8/18-125,-324.4802221109
S66x8/18-150,-324.477216443
S66x8/18-200,-324.4744117987
S66x8/19-A,-115.6452514242
S66x8/19-B,-248.0864368554
S66x8/19-090,-363.7418682558
S66x8/19-095,-363.7425950978
S66x8/19-100,-363.7426890537
S66x8/19-105,-363.74238215
S66x8/19-110,-363.7417493729
S66x8/19-125,-363.7396733425
S66x8/19-150,-363.7364519896
S66x8/19-200,-363.7334214324
S66x8/20-A,-228.9428329331
S66x8/20-B,-228.9428387315
S66x8/20-090,-457.9149317427
S66x8/20-095,-457.9165300966
S66x8/20-100,-457.9165827478
S66x8/20-105,-457.9156349197
S66x8/20-110,-457.914104476
S66x8/20-125,-457.9082746614
S66x8/20-150,-457.8997785243
S66x8/20-200,-457.8912136126
S66x8/21-A,-209.076466489
S66x8/21-B,-209.0764711062
S66x8/21-090,-418.1761944632
S66x8/21-095,-418.1775972291
S66x8/21-100,-418.1777423094
S66x8/21-105,-418.1771105179
S66x8/21-110,-418.1759998582
S66x8/21-125,-418.1715906552
S66x8/21-150,-418.1649955466
S66x8/21-200,-418.1575928405
S66x8/22-A,-228.9427504046
S66x8/22-B,-414.553912732
S66x8/22-090,-643.5253481657
S66x8/22-095,-643.5269474935
S66x8/22-100,-643.5270920696
S66x8/22-105,-643.5262998619
S66x8/22-110,-643.5249527383
S66x8/22-125,-643.5196231861
S66x8/22-150,-643.5115211389
S66x8/22-200,-643.5030218004
S66x8/23-A,-209.0763460709
S66x8/23-B,-414.5538314439
S66x8/23-090,-623.6577030384
S66x8/23-095,-623.659270186
S66x8/23-100,-623.6595141971
S66x8/23-105,-623.6588926998
S66x8/23-110,-623.6577383297
S66x8/23-125,-623.6529931095
S66x8/23-150,-623.6455254303
S66x8/23-200,-623.6373015089
S66x8/24-A,-232.0541116308
S66x8/24-B,-232.0540885125
S66x8/24-090,-464.097863067
S66x8/24-095,-464.1023442534
S66x8/24-100,-464.1054841159
S66x8/24-105,-464.1068999025
S66x8/24-110,-464.1071748863
S66x8/24-125,-464.108004476
S66x8/24-150,-464.1078892814
S66x8/24-200,-464.1078783484
S66x8/25-A,-248.086423211
S66x8/25-B,-248.086453825
S66x8/25-090,-496.1646913853
S66x8/25-095,-496.1688830969
S66x8/25-100,-496.1715486286
S66x8/25-105,-496.1731243183
S66x8/25-110,-496.1736385387
S66x8/25-125,-496.1738854039
S66x8/25-150,-496.17335394
S66x8/25-200,-496.1730207904
S66x8/26-A,-414.5546456436
S66x8/26-B,-414.5546456434
S66x8/26-090,-829.1079689197
S66x8/26-095,-829.112440122
S66x8/26-100,-829.1148433843
S66x8/26-105,-829.1157530397
S66x8/26-110,-829.1157686699
S66x8/26-125,-829.1147295476
S66x8/26-150,-829.1124170847
S66x8/26-200,-829.1104606801
S66x8/27-A,-232.0541123845
S66x8/27-B,-248.0864646443
S66x8/27-090,-480.1312107128
S66x8/27-095,-480.1355933393
S66x8/27-100,-480.1386224518
S66x8/27-105,-480.1402216997
S66x8/27-110,-480.1405398259
S66x8/27-125,-480.1410330537
S66x8/27-150,-480.1406315012
S66x8/27-200,-480.1404412318
S66x8/28-A,-232.0539928349
S66x8/28-B,-414.555146261
S66x8/28-090,-646.6020968409
S66x8/28-095,-646.6060948836
S66x8/28-100,-646.6087364786
S66x8/28-105,-646.6103470124
S66x8/28-110,-646.6108501308
S66x8/28-125,-646.6104958952
S66x8/28-150,-646.6096806917
S66x8/28-200,-646.6091019339
S66x8/29-A,-248.0863970573
S66x8/29-B,-414.5551467344
S66x8/29-090,-662.6346968713
S66x8/29-095,-662.6401488487
S66x8/29-100,-662.6429196441
S66x8/29-105,-662.6445277333
S66x8/29-110,-662.6450128977
S66x8/29-125,-662.6443399115
S66x8/29-150,-662.6430218206
S66x8/29-200,-662.6420225296
S66x8/30-A,-232.0541001833
S66x8/30-B,-78.5156196458
S66x8/30-090,-310.5646825205
S66x8/30-095,-310.5667477859
S66x8/30-100,-310.5682020269
S66x8/30-105,-310.5688414512
S66x8/30-110,-310.5689487904
S66x8/30-125,-310.5694080789
S66x8/30-150,-310.5693582059
S66x8/30-200,-310.5694713671
S66x8/31-A,-414.5552076641
S66x8/31-B,-78.5156359517
S66x8/31-090,-493.0687787189
S66x8/31-095,-493.0707112256
S66x8/31-100,-493.0717968982
S66x8/31-105,-493.0722640236
S66x8/31-110,-493.0723707057
S66x8/31-125,-493.0721946553
S66x8/31-150,-493.0715408006
S66x8/31-200,-493.0709868617
S66x8/32-A,-414.5552351823
S66x8/32-B,-77.2600840042
S66x8/32-090,-491.8141529962
S66x8/32-095,-491.8161276761
S66x8/32-100,-491.8171429847
S66x8/32-105,-491.8174927239
S66x8/32-110,-491.8175207061
S66x8/32-125,-491.8170702926
S66x8/32-150,-491.8161004574
S66x8/32-200,-491.8153394318
S66x8/33-A,-248.086478059
S66x8/33-B,-78.5155803327
S66x8/33-090,-326.5982815823
S66x8/33-095,-326.6001558898
S66x8/33-100,-326.6012927453
S66x8/33-105,-326.6018775762
S66x8/33-110,-326.6020766452
S66x8/33-125,-326.6023073951
S66x8/33-150,-326.6021248897
S66x8/33-200,-326.6020600776
S66x8/34-A,-197.5909514454
S66x8/34-B,-197.5908729993
S66x8/34-090,-395.1781692453
S66x8/34-095,-395.1805942299
S66x8/34-100,-395.1819138167
S66x8/34-105,-395.1825831688
S66x8/34-110,-395.1829302033
S66x8/34-125,-395.1830346094
S66x8/34-150,-395.1826342701
S66x8/34-200,-395.1823131887
S66x8/35-A,-197.5909224006
S66x8/35-B,-197.5938009098
S66x8/35-090,-395.1818281161
S66x8/35-095,-395.1836728616
S66x8/35-100,-395.1846702556
S66x8/35-105,-395.1851413908
S66x8/35-110,-395.185345434
S66x8/35-125,-395.1853189086
S66x8/35-150,-395.1850041083
S66x8/35-200,-395.1847891093
S66x8/36-A,-197.5938219149
S66x8/36-B,-197.5938840706
S66x8/36-090,-395.185757813
S66x8/36-095,-395.186775881
S66x8/36-100,-395.1873252366
S66x8/36-105,-395.1875986519
S66x8/36-110,-395.1877444606
S66x8/36-125,-395.1877317005
S66x8/36-150,-395.1875300687
S66x8/36-200,-395.1873771658
S66x8/37-A,-196.3857933107
S66x8/37-B,-197.5937363958
S66x8/37-090,-393.97627334
S66x8/37-095,-393.9781949334
S66x8/37-100,-393.9792374218
S66x8/37-105,-393.9797544252
S66x8/37-110,-393.9799902999
S66x8/37-125,-393.9800867057
S66x8/37-150,-393.9798162126
S66x8/37-200,-393.9795905555
S66x8/38-A,-196.3856750662
S66x8/38-B,-196.3859046209
S66x8/38-090,-392.7683259101
S66x8/38-095,-392.770135915
S66x8/38-100,-392.7712761285
S66x8/38-105,-392.7718283401
S66x8/38-110,-392.7720559981
S66x8/38-125,-392.7720745758
S66x8/38-150,-392.7717183964
S66x8/38-200,-392.7714696053
S66x8/39-A,-232.0540913597
S66x8/39-B,-196.3856081161
S66x8/39-090,-428.434698846
S66x8/39-095,-428.437607027
S66x8/39-100,-428.439263456
S66x8/39-105,-428.4400568457
S66x8/39-110,-428.4403285209
S66x8/39-125,-428.4405413571
S66x8/39-150,-428.4400489686
S66x8/39-200,-428.4396553307
S66x8/40-A,-232.0540817313
S66x8/40-B,-197.5938578408
S66x8/40-090,-429.6442658393
S66x8/40-095,-429.6465281592
S66x8/40-100,-429.6479063621
S66x8/40-105,-429.6484110295
S66x8/40-110,-429.6485484372
S66x8/40-125,-429.648703751
S66x8/40-150,-429.6482514954
S66x8/40-200,-429.6478930073
S66x8/41-A,-414.55517833
S66x8/41-B,-197.5911736986
S66x8/41-090,-612.1419053409
S66x8/41-095,-612.1448351061
S66x8/41-100,-612.146541357
S66x8/41-105,-612.1471933589
S66x8/41-110,-612.1473383229
S66x8/41-125,-612.1474376665
S66x8/41-150,-612.1467659235
S66x8/41-200,-612.146400945
S66x8/42-A,-414.5552558432
S66x8/42-B,-196.3856073954
S66x8/42-090,-610.9359474
S66x8/42-095,-610.9388576052
S66x8/42-100,-610.9404532082
S66x8/42-105,-610.9411965076
S66x8/42-110,-610.9415302364
S66x8/42-125,-610.9417092188
S66x8/42-150,-610.9412307824
S66x8/42-200,-610.9408600209
S66x8/43-A,-414.5552934511
S66x8/43-B,-197.5937017798
S66x8/43-090,-612.1458615905
S66x8/43-095,-612.1482161616
S66x8/43-100,-612.1493995676
S66x8/43-105,-612.1498214855
S66x8/43-110,-612.1499985101
S66x8/43-125,-612.1499757042
S66x8/43-150,-612.1494079944
S66x8/43-200,-612.1489707225
S66x8/44-A,-78.5156210829
S66x8/44-B,-197.5910052806
S66x8/44-090,-276.1053259225
S66x8/44-095,-276.1064648418
S66x8/44-100,-276.1070287419
S66x8/44-105,-276.1072585901
S66x8/44-110,-276.1073611224
S66x8/44-125,-276.1072854826
S66x8/44-150,-276.1070212565
S66x8/44-200,-276.1068237539
S66x8/45-A,-77.2600889421
S66x8/45-B,-197.5909664263
S66x8/45-090,-274.8490681418
S66x8/45-095,-274.8504213196
S66x8/45-100,-274.8511179231
S66x8/45-105,-274.8515027118
S66x8/45-110,-274.851655667
S66x8/45-125,-274.8515479924
S66x8/45-150,-274.8512002682
S66x8/45-200,-274.8509543482
S66x8/46-A,-248.3490593724
S66x8/46-B,-197.5909620276
S66x8/46-090,-445.937899367
S66x8/46-095,-445.9396852701
S66x8/46-100,-445.9407103572
S66x8/46-105,-445.9412058792
S66x8/46-110,-445.9414039436
S66x8/46-125,-445.9414252454
S66x8/46-150,-445.9407799661
S66x8/46-200,-445.9402307184
S66x8/47-A,-232.0540670248
S66x8/47-B,-232.0539743274
S66x8/47-090,-464.1050722278
S66x8/47-095,-464.107312012
S66x8/47-100,-464.108482545
S66x8/47-105,-464.1090870148
S66x8/47-110,-464.1092863713
S66x8/47-125,-464.1091767697
S66x8/47-150,-464.1086307396
S66x8/47-200,-464.1081892014
S66x8/48-A,-248.086426697
S66x8/48-B,-248.0863890502
S66x8/48-090,-496.1714698777
S66x8/48-095,-496.173297195
S66x8/48-100,-496.1743020033
S66x8/48-105,-496.1748130433
S66x8/48-110,-496.1749246922
S66x8/48-125,-496.1746841814
S66x8/48-150,-496.1739098826
S66x8/48-200,-496.1732029746
S66x8/49-A,-232.0540683559
S66x8/49-B,-248.0864192734
S66x8/49-090,-480.138097532
S66x8/49-095,-480.1403820507
S66x8/49-100,-480.1415239077
S66x8/49-105,-480.1420938253
S66x8/49-110,-480.1422723761
S66x8/49-125,-480.1420076309
S66x8/49-150,-480.141288077
S66x8/49-200,-480.1406503815
S66x8/50-A,-232.0540545994
S66x8/50-B,-77.260153634
S66x8/50-090,-309.3141917809
S66x8/50-095,-309.3156796856
S66x8/50-100,-309.3162734718
S66x8/50-105,-309.3165474783
S66x8/50-110,-309.3165565684
S66x8/50-125,-309.3160004622
S66x8/50-150,-309.3150720201
S66x8/50-200,-309.3143540839
S66x8/51-A,-77.2601005845
S66x8/51-B,-77.2601634074
S66x8/51-090,-154.5216137316
S66x8/51-095,-154.5220494922
S66x8/51-100,-154.5221759476
S66x8/51-105,-154.5221313912
S66x8/51-110,-154.5219982043
S66x8/51-125,-154.5214748685
S66x8/51-150,-154.5208334119
S66x8/51-200,-154.5203753723
S66x8/52-A,-232.0540524531
S66x8/52-B,-228.9446649964
S66x8/52-090,-461.001047707
S66x8/52-095,-461.0023916496
S66x8/52-100,-461.002987551
S66x8/52-105,-461.003146414
S66x8/52-110,-461.0030313693
S66x8/52-125,-461.0020499305
S66x8/52-150,-461.0005855912
S66x8/52-200,-460.9992763622
S66x8/53-A,-232.0540546148
S66x8/53-B,-209.0773361109
S66x8/53-090,-441.133847467
S66x8/53-095,-441.1349141825
S66x8/53-100,-441.1353855807
S66x8/53-105,-441.135481186
S66x8/53-110,-441.1353647208
S66x8/53-125,-441.1345205731
S66x8/53-150,-441.1331303897
S66x8/53-200,-441.1317843438
S66x8/54-A,-232.0540432224
S66x8/54-B,-76.3862185632
S66x8/54-090,-308.4428945541
S66x8/54-095,-308.4438673774
S66x8/54-100,-308.4441989892
S66x8/54-105,-308.4441485624
S66x8/54-110,-308.443923566
S66x8/54-125,-308.4430714616
S66x8/54-150,-308.4418853592
S66x8/54-200,-308.4408379033
S66x8/55-A,-232.0540239036
S66x8/55-B,-115.6454711289
S66x8/55-090,-347.7008105235
S66x8/55-095,-347.7021872578
S66x8/55-100,-347.7028579736
S66x8/55-105,-347.70313841
S66x8/55-110,-347.7031371561
S66x8/55-125,-347.702347825
S66x8/55-150,-347.7011326495
S66x8/55-200,-347.7000347102
S66x8/56-A,-232.0540640991
S66x8/56-B,-95.7835973415
S66x8/56-090,-327.8369137253
S66x8/56-095,-327.8383713076
S66x8/56-100,-327.8391735639
S66x8/56-105,-327.8396225539
S66x8/56-110,-327.8397227888
S66x8/56-125,-327.8393195804
S66x8/56-150,-327.8385527141
S66x8/56-200,-327.8378980344
S66x8/57-A,-232.0540297234
S66x8/57-B,-248.349019842
S66x8/57-090,-480.4019775391
S66x8/57-095,-480.4047956945
S66x8/57-100,-480.4061233075
S66x8/57-105,-480.4067068972
S66x8/57-110,-480.4068873049
S66x8/57-125,-480.4061844536
S66x8/57-150,-480.4048658604
S66x8/57-200,-480.4037072205
S66x8/58-A,-248.0864062981
S66x8/58-B,-248.0863462899
S66x8/58-090,-496.1744188083
S66x8/58-095,-496.1761563908
S66x8/58-100,-496.1769877625
S66x8/58-105,-496.176925428
S66x8/58-110,-496.1765518489
S66x8/58-125,-496.1752738648
S66x8/58-150,-496.1739539121
S66x8/58-200,-496.1730984467
S66x8/59-A,-77.2602068763
S66x8/59-B,-76.3862729962
S66x8/59-090,-153.6504253964
S66x8/59-095,-153.6507742598
S66x8/59-100,-153.6507936453
S66x8/59-105,-153.6506278665
S66x8/59-110,-153.6503589272
S66x8/59-125,-153.6493801266
S66x8/59-150,-153.6480848108
S66x8/59-200,-153.646917805
S66x8/60-A,-77.2600957682
S66x8/60-B,-228.944637507
S66x8/60-090,-306.2107708834
S66x8/60-095,-306.211471309
S66x8/60-100,-306.2115698539
S66x8/60-105,-306.2113162299
S66x8/60-110,-306.2108806556
S66x8/60-125,-306.2092819774
S66x8/60-150,-306.2071856356
S66x8/60-200,-306.2054380665
S66x8/61-A,-197.5910022172
S66x8/61-B,-228.9447140219
S66x8/61-090,-426.5346833435
S66x8/61-095,-426.5356665911
S66x8/61-100,-426.5362282411
S66x8/61-105,-426.5365164115
S66x8/61-110,-426.5366569756
S66x8/61-125,-426.5366554745
S66x8/61-150,-426.5361634949
S66x8/61-200,-426.5358221449
S66x8/62-A,-197.5910241895
S66x8/62-B,-209.0773467395
S66x8/62-090,-406.667275864
S66x8/62-095,-406.6686019702
S66x8/62-100,-406.6693073639
S66x8/62-105,-406.6696641641
S66x8/62-110,-406.6698196655
S66x8/62-125,-406.6696349363
S66x8/62-150,-406.6690585069
S66x8/62-200,-406.6685096147
S66x8/63-A,-232.0540913517
S66x8/63-B,-228.944672151
S66x8/63-090,-460.99656555
S66x8/63-095,-460.9987200172
S66x8/63-100,-460.9998992941
S66x8/63-105,-461.0005010378
S66x8/63-110,-461.0005913567
S66x8/63-125,-461.0003652544
S66x8/63-150,-460.9995021829
S66x8/63-200,-460.9988541315
S66x8/64-A,-248.3489556001
S66x8/64-B,-78.5157022035
S66x8/64-090,-326.8648906251
S66x8/64-095,-326.865924709
S66x8/64-100,-326.8664388681
S66x8/64-105,-326.8666103029
S66x8/64-110,-326.8665925406
S66x8/64-125,-326.866234962
S66x8/64-150,-326.8654050279
S66x8/64-200,-326.8647423379
S66x8/65-A,-248.0864561677
S66x8/65-B,-77.2596668212
S66x8/65-090,-325.3519344032
S66x8/65-095,-325.3523885931
S66x8/65-100,-325.3524327499
S66x8/65-105,-325.3522345671
S66x8/65-110,-325.3518988694
S66x8/65-125,-325.3506473995
S66x8/65-150,-325.3489606964
S66x8/65-200,-325.34747603
S66x8/66-A,-95.7835629738
S66x8/66-B,-248.0864360757
S66x8/66-090,-343.8712908141
S66x8/66-095,-343.8723366607
S66x8/66-100,-343.8728941427
S66x8/66-105,-343.8731223679
S66x8/66-110,-343.8731229661
S66x8/66-125,-343.8725792131
S66x8/66-150,-343.8715662734
