system,B3LYP/def2-QZVP/Q-Chem
S22x5/20-2.0,-830.0388519673
S22x5/21-A,-415.0182486356
S22x5/21-B,-415.0182486356
S22x5/21-0.9,-830.0619636781
S22x5/21-1.0,-830.0653529552
S22x5/21-1.2,-830.0607637365
S22x5/21-1.5,-830.0511722699
S22x5/21-2.0,-830.0428575108
S22x5/22-A,-232.3540559157
S22x5/22-B,-93.4692620097
S22x5/22-0.9,-325.8247231432
S22x5/22-1.0,-325.8265368425
S22x5/22-1.2,-325.8268035072
S22x5/22-1.5,-325.8255524503
S22x5/22-2.0,-325.8243538458
S66x8/01-A,-76.4728094599
S66x8/01-B,-76.4728087976
S66x8/01-090,-152.952675016
S66x8/01-095,-152.9531590332
S66x8/01-100,-152.9531709131
S66x8/01-105,-152.9528990217
S66x8/01-110,-152.9524688451
S66x8/01-125,-152.9509083573
S66x8/01-150,-152.9488173784
S66x8/01-200,-152.9469534461
S66x8/02-A,-76.472818295
S66x8/02-B,-115.7867800586
S66x8/02-090,-192.2666468595
S66x8/02-095,-192.267293561
S66x8/02-100,-192.2674029947
S66x8/02-105,-192.2671832074
S66x8/02-110,-192.2667706806
S66x8/02-125,-192.265153099
S66x8/02-150,-192.2629082406
S66x8/02-200,-192.2609250448
S66x8/03-A,-76.4728303967
S66x8/03-B,-95.911438237
S66x8/03-090,-172.3938744101
S66x8/03-095,-172.3945011988
S66x8/03-100,-172.3945348636
S66x8/03-105,-172.394199989
S66x8/03-110,-172.3936469544
S66x8/03-125,-172.3915407776
S66x8/03-150,-172.3885582167
S66x8/03-200,-172.3858205437
S66x8/04-A,-76.4728293538
S66x8/04-B,-248.6499519376
S66x8/04-090,-325.1327933732
S66x8/04-095,-325.1335486537
S66x8/04-100,-325.1336820686
S66x8/04-105,-325.133427144
S66x8/04-110,-325.1329319282
S66x8/04-125,-325.1309012005
S66x8/04-150,-325.1279119183
S66x8/04-200,-325.1247106385
S66x8/05-A,-115.7866444612
S66x8/05-B,-115.7868044094
S66x8/05-090,-231.5801259448
S66x8/05-095,-231.5809137455
S66x8/05-100,-231.5811252606
S66x8/05-105,-231.5809799255
S66x8/05-110,-231.5806219466
S66x8/05-125,-231.579095157
S66x8/05-150,-231.5768850625
S66x8/05-200,-231.5748591826
S66x8/06-A,-115.7864073918
S66x8/06-B,-95.9115013518
S66x8/06-090,-211.7066571242
S66x8/06-095,-211.7076795232
S66x8/06-100,-211.7079916223
S66x8/06-105,-211.7078442497
S66x8/06-110,-211.7074081758
S66x8/06-125,-211.7054637863
S66x8/06-150,-211.7025133894
S66x8/06-200,-211.6996854789
S66x8/07-A,-115.7865133029
S66x8/07-B,-248.649807553
S66x8/07-090,-364.4456720453
S66x8/07-095,-364.446642604
S66x8/07-100,-364.4469342941
S66x8/07-105,-364.4467905827
S66x8/07-110,-364.4463669508
S66x8/07-125,-364.4444414486
S66x8/07-150,-364.4410924986
S66x8/07-200,-364.437820525
S66x8/08-A,-115.7866492568
S66x8/08-B,-76.4728142099
S66x8/08-090,-192.2661309661
S66x8/08-095,-192.26674465
S66x8/08-100,-192.2668520223
S66x8/08-105,-192.2666497817
S66x8/08-110,-192.2662692703
S66x8/08-125,-192.2647875862
S66x8/08-150,-192.2627280895
S66x8/08-200,-192.26085097
S66x8/09-A,-95.9114199325
S66x8/09-B,-115.786772345
S66x8/09-090,-211.7001377111
S66x8/09-095,-211.7007824474
S66x8/09-100,-211.7010237577
S66x8/09-105,-211.7010342698
S66x8/09-110,-211.7009162486
S66x8/09-125,-211.7002762418
S66x8/09-150,-211.6994116318
S66x8/09-200,-211.698729852
S66x8/10-A,-95.911411271
S66x8/10-B,-95.9114517441
S66x8/10-090,-191.8249929004
S66x8/10-095,-191.826038566
S66x8/10-100,-191.8264997356
S66x8/10-105,-191.8265924031
S66x8/10-110,-191.8264741513
S66x8/10-125,-191.8256601402
S66x8/10-150,-191.8241982608
S66x8/10-200,-191.8233340399
S66x8/11-A,-95.9112419053
S66x8/11-B,-248.6499603162
S66x8/11-090,-344.5637681796
S66x8/11-095,-344.5649770942
S66x8/11-100,-344.5655819105
S66x8/11-105,-344.5657810931
S66x8/11-110,-344.5657174696
S66x8/11-125,-344.5643645494
S66x8/11-150,-344.562744975
S66x8/11-200,-344.5619166183
S66x8/12-A,-95.9114689932
S66x8/12-B,-76.4725133012
S66x8/12-090,-172.3934630858
S66x8/12-095,-172.3942982372
S66x8/12-100,-172.3944592291
S66x8/12-105,-172.3941985296
S66x8/12-110,-172.3936902332
S66x8/12-125,-172.3916429435
S66x8/12-150,-172.388639143
S66x8/12-200,-172.3858684999
S66x8/13-A,-248.6499556816
S66x8/13-B,-115.7868216502
S66x8/13-090,-364.4418680258
S66x8/13-095,-364.4429117805
S66x8/13-100,-364.4433600663
S66x8/13-105,-364.4434281409
S66x8/13-110,-364.4432597546
S66x8/13-125,-364.4421574598
S66x8/13-150,-364.4402959356
S66x8/13-200,-364.4384847639
S66x8/14-A,-248.6497273917
S66x8/14-B,-95.9114530889
S66x8/14-090,-344.5676315546
S66x8/14-095,-344.5688743545
S66x8/14-100,-344.5694305618
S66x8/14-105,-344.5695290129
S66x8/14-110,-344.5693246797
S66x8/14-125,-344.56791261
S66x8/14-150,-344.5655438185
S66x8/14-200,-344.5631260198
S66x8/15-A,-248.6498046729
S66x8/15-B,-248.6499827497
S66x8/15-090,-497.3069680418
S66x8/15-095,-497.3082366984
S66x8/15-100,-497.3088082258
S66x8/15-105,-497.3089062046
S66x8/15-110,-497.308699448
S66x8/15-125,-497.3073164265
S66x8/15-150,-497.3049200164
S66x8/15-200,-497.3020495115
S66x8/16-A,-248.6499923833
S66x8/16-B,-76.4728168199
S66x8/16-090,-325.128518801
S66x8/16-095,-325.1292483748
S66x8/16-100,-325.1294775858
S66x8/16-105,-325.1293979222
S66x8/16-110,-325.1291379553
S66x8/16-125,-325.1279596899
S66x8/16-150,-325.1262058911
S66x8/16-200,-325.1244904511
S66x8/17-A,-415.0184496062
S66x8/17-B,-415.0185020579
S66x8/17-090,-830.0580891255
S66x8/17-095,-830.0601988393
S66x8/17-100,-830.0608328413
S66x8/17-105,-830.0605029316
S66x8/17-110,-830.0595691417
S66x8/17-125,-830.055273291
S66x8/17-150,-830.0484747022
S66x8/17-200,-830.0415764257
S66x8/18-A,-76.4728228279
S66x8/18-B,-248.3959569166
S66x8/18-090,-324.8779413863
S66x8/18-095,-324.8786276008
S66x8/18-100,-324.8787106511
S66x8/18-105,-324.8784130125
S66x8/18-110,-324.8778853459
S66x8/18-125,-324.8758426504
S66x8/18-150,-324.8729667341
S66x8/18-200,-324.8703689304
S66x8/19-A,-115.7864133382
S66x8/19-B,-248.3959542563
S66x8/19-090,-364.1908826634
S66x8/19-095,-364.1918671381
S66x8/19-100,-364.1921688526
S66x8/19-105,-364.1920286527
S66x8/19-110,-364.191660915
S66x8/19-125,-364.1896874471
S66x8/19-150,-364.1868108205
S66x8/19-200,-364.1840345283
S66x8/20-A,-229.2038668314
S66x8/20-B,-229.2038767739
S66x8/20-090,-458.4338130168
S66x8/20-095,-458.435963517
S66x8/20-100,-458.4364663522
S66x8/20-105,-458.4358794607
S66x8/20-110,-458.4346281492
S66x8/20-125,-458.4293538578
S66x8/20-150,-458.4211613402
S66x8/20-200,-458.4129031066
S66x8/21-A,-209.324785085
S66x8/21-B,-209.3247892628
S66x8/21-090,-418.6701885265
S66x8/21-095,-418.6720773731
S66x8/21-100,-418.6725992785
S66x8/21-105,-418.6722531062
S66x8/21-110,-418.6713568485
S66x8/21-125,-418.6673291505
S66x8/21-150,-418.6609869512
S66x8/21-200,-418.6539899905
S66x8/22-A,-229.2038240235
S66x8/22-B,-415.0182033753
S66x8/22-090,-644.2478177466
S66x8/22-095,-644.2499544621
S66x8/22-100,-644.2505323373
S66x8/22-105,-644.2500826387
S66x8/22-110,-644.2489973019
S66x8/22-125,-644.2441261541
S66x8/22-150,-644.2362816265
S66x8/22-200,-644.2280656468
S66x8/23-A,-209.3246521699
S66x8/23-B,-415.0181046527
S66x8/23-090,-624.3674693505
S66x8/23-095,-624.3695492268
S66x8/23-100,-624.3702017876
S66x8/23-105,-624.3699004516
S66x8/23-110,-624.3689912719
S66x8/23-125,-624.3646871622
S66x8/23-150,-624.3574929878
S66x8/23-200,-624.3495852643
S66x8/24-A,-232.3541035191
S66x8/24-B,-232.3540840579
S66x8/24-090,-464.692967846
S66x8/24-095,-464.6986985726
S66x8/24-100,-464.7025742009
S66x8/24-105,-464.7045607572
S66x8/24-110,-464.7053677815
S66x8/24-125,-464.7069949681
S66x8/24-150,-464.7076361242
S66x8/24-200,-464.7079784847
S66x8/25-A,-248.3959074819
S66x8/25-B,-248.3959320774
S66x8/25-090,-496.7784938166
S66x8/25-095,-496.7839778062
S66x8/25-100,-496.7874739694
S66x8/25-105,-496.7895948267
S66x8/25-110,-496.7905938947
S66x8/25-125,-496.7916830142
S66x8/25-150,-496.7919087908
S66x8/25-200,-496.7919899507
S66x8/26-A,-415.0190116239
S66x8/26-B,-415.0190116239
S66x8/26-090,-830.0311972901
S66x8/26-095,-830.036816697
S66x8/26-100,-830.0400300397
S66x8/26-105,-830.0415240453
S66x8/26-110,-830.0419722867
S66x8/26-125,-830.041727167
S66x8/26-150,-830.0403014406
S66x8/26-200,-830.0390932532
S66x8/27-A,-232.3540989963
S66x8/27-B,-248.3959405762
S66x8/27-090,-480.7355477844
S66x8/27-095,-480.7412898635
S66x8/27-100,-480.7450806926
S66x8/27-105,-480.7472691197
S66x8/27-110,-480.7481167042
S66x8/27-125,-480.7494121476
S66x8/27-150,-480.7497584455
S66x8/27-200,-480.7499433691
S66x8/28-A,-232.3540301467
S66x8/28-B,-415.0195369845
S66x8/28-090,-647.3607567386
S66x8/28-095,-647.366223063
S66x8/28-100,-647.3697047633
S66x8/28-105,-647.3718092261
S66x8/28-110,-647.3728442505
S66x8/28-125,-647.3734468038
S66x8/28-150,-647.373475892
S66x8/28-200,-647.3734743089
S66x8/29-A,-248.3959045273
S66x8/29-B,-415.0195029008
S66x8/29-090,-663.4026489757
S66x8/29-095,-663.4097763916
S66x8/29-100,-663.4136129973
S66x8/29-105,-663.4157832947
S66x8/29-110,-663.4167438865
S66x8/29-125,-663.4169807703
S66x8/29-150,-663.4164628272
S66x8/29-200,-663.4159316092
S66x8/30-A,-232.3540937765
S66x8/30-B,-78.6306589367
S66x8/30-090,-310.9765882244
S66x8/30-095,-310.979394255
S66x8/30-100,-310.9812903846
S66x8/30-105,-310.98232097
S66x8/30-110,-310.9827717785
S66x8/30-125,-310.9837036182
S66x8/30-150,-310.9841452225
S66x8/30-200,-310.9845436532
S66x8/31-A,-415.0195472349
S66x8/31-B,-78.6306518404
S66x8/31-090,-493.6451252134
S66x8/31-095,-493.647648214
S66x8/31-100,-493.6491451815
S66x8/31-105,-493.6499284333
S66x8/31-110,-493.6503026736
S66x8/31-125,-493.6506207451
S66x8/31-150,-493.6505161553
S66x8/31-200,-493.6503313407
S66x8/32-A,-415.01955477
S66x8/32-B,-77.3702721921
S66x8/32-090,-492.3858467835
S66x8/32-095,-492.3883926078
S66x8/32-100,-492.3897605901
S66x8/32-105,-492.3904422854
S66x8/32-110,-492.3907420746
S66x8/32-125,-492.3907278195
S66x8/32-150,-492.3902430049
S66x8/32-200,-492.3898185715
S66x8/33-A,-248.3959484553
S66x8/33-B,-78.6306255796
S66x8/33-090,-327.0197026447
S66x8/33-095,-327.0222646566
S66x8/33-100,-327.0238176786
S66x8/33-105,-327.0247462779
S66x8/33-110,-327.0252704277
S66x8/33-125,-327.0259628432
S66x8/33-150,-327.0262790093
S66x8/33-200,-327.026550227
S66x8/34-A,-197.8659421391
S66x8/34-B,-197.865937645
S66x8/34-090,-395.7241171506
S66x8/34-095,-395.7272037792
S66x8/34-100,-395.7290493887
S66x8/34-105,-395.7301588794
S66x8/34-110,-395.7307709926
S66x8/34-125,-395.7315378428
S66x8/34-150,-395.7319371283
S66x8/34-200,-395.7322529381
S66x8/35-A,-197.8659412825
S66x8/35-B,-197.8675226662
S66x8/35-090,-395.727475653
S66x8/35-095,-395.7298735653
S66x8/35-100,-395.731228652
S66x8/35-105,-395.7320297073
S66x8/35-110,-395.7324498971
S66x8/35-125,-395.7329378904
S66x8/35-150,-395.7332082248
S66x8/35-200,-395.7334227205
S66x8/36-A,-197.8674984804
S66x8/36-B,-197.867558575
S66x8/36-090,-395.7309191776
S66x8/36-095,-395.7322030773
S66x8/36-100,-395.7329874234
S66x8/36-105,-395.7334745065
S66x8/36-110,-395.7337431779
S66x8/36-125,-395.7341563432
S66x8/36-150,-395.7343971001
S66x8/36-200,-395.734565684
S66x8/37-A,-196.6468918623
S66x8/37-B,-197.8673233901
S66x8/37-090,-394.508066545
S66x8/37-095,-394.5105384165
S66x8/37-100,-394.5119317838
S66x8/37-105,-394.5127358604
S66x8/37-110,-394.5132148686
S66x8/37-125,-394.513759742
S66x8/37-150,-394.5140387599
S66x8/37-200,-394.5142652981
S66x8/38-A,-196.6467356034
S66x8/38-B,-196.6469428706
S66x8/38-090,-393.287405506
S66x8/38-095,-393.2897250795
S66x8/38-100,-393.2911978743
S66x8/38-105,-393.2920706954
S66x8/38-110,-393.292555863
S66x8/38-125,-393.2930297429
S66x8/38-150,-393.2932709153
S66x8/38-200,-393.2934887842
S66x8/39-A,-232.3540869687
S66x8/39-B,-196.6466462871
S66x8/39-090,-428.9915805268
S66x8/39-095,-428.9953308686
S66x8/39-100,-428.997629983
S66x8/39-105,-428.9988931772
S66x8/39-110,-428.9995000595
S66x8/39-125,-429.0004084405
S66x8/39-150,-429.0006058229
S66x8/39-200,-429.0006847133
S66x8/40-A,-232.3540803485
S66x8/40-B,-197.8674468855
S66x8/40-090,-430.2144649742
S66x8/40-095,-430.2174111374
S66x8/40-100,-430.2192685973
S66x8/40-105,-430.2201297925
S66x8/40-110,-430.2205679878
S66x8/40-125,-430.2213130608
S66x8/40-150,-430.2214739565
S66x8/40-200,-430.221505068
S66x8/41-A,-415.0195481223
S66x8/41-B,-197.8661969197
S66x8/41-090,-612.8768259301
S66x8/41-095,-612.8805595401
S66x8/41-100,-612.8828504997
S66x8/41-105,-612.8839939278
S66x8/41-110,-612.8845036639
S66x8/41-125,-612.8854649348
S66x8/41-150,-612.8856081716
S66x8/41-200,-612.8857595371
S66x8/42-A,-415.0196373077
S66x8/42-B,-196.6466841271
S66x8/42-090,-611.6575298868
S66x8/42-095,-611.6612057922
S66x8/42-100,-611.6633109472
S66x8/42-105,-611.6644709166
S66x8/42-110,-611.6650851389
S66x8/42-125,-611.6659014323
S66x8/42-150,-611.6661318618
S66x8/42-200,-611.6662690378
S66x8/43-A,-415.019647402
S66x8/43-B,-197.8674811149
S66x8/43-090,-612.880616062
S66x8/43-095,-612.8835907744
S66x8/43-100,-612.8852098129
S66x8/43-105,-612.8859559454
S66x8/43-110,-612.8863696239
S66x8/43-125,-612.8869278912
S66x8/43-150,-612.8869693671
S66x8/43-200,-612.8869604556
S66x8/44-A,-78.630657409
S66x8/44-B,-197.8659616675
S66x8/44-090,-276.4930838328
S66x8/44-095,-276.4945646547
S66x8/44-100,-276.4954288229
S66x8/44-105,-276.4958990225
S66x8/44-110,-276.4961298748
S66x8/44-125,-276.4964852137
S66x8/44-150,-276.4966950962
S66x8/44-200,-276.4968487332
S66x8/45-A,-77.3702893402
S66x8/45-B,-197.8659742924
S66x8/45-090,-275.231931964
S66x8/45-095,-275.2336574268
S66x8/45-100,-275.2346891192
S66x8/45-105,-275.2353285925
S66x8/45-110,-275.2356383677
S66x8/45-125,-275.2359661176
S66x8/45-150,-275.2360576478
S66x8/45-200,-275.2360921346
S66x8/46-A,-248.6501327067
S66x8/46-B,-197.8660084221
S66x8/46-090,-446.5103269259
S66x8/46-095,-446.5126407499
S66x8/46-100,-446.5140936273
S66x8/46-105,-446.5149307095
S66x8/46-110,-446.5153663852
S66x8/46-125,-446.5159719197
S66x8/46-150,-446.5161351055
S66x8/46-200,-446.5162333656
S66x8/47-A,-232.3540735153
S66x8/47-B,-232.3540085969
S66x8/47-090,-464.7019221036
S66x8/47-095,-464.7048365928
S66x8/47-100,-464.7065069168
S66x8/47-105,-464.7074574851
S66x8/47-110,-464.7079029942
S66x8/47-125,-464.7083160123
S66x8/47-150,-464.7082692537
S66x8/47-200,-464.7082061199
S66x8/48-A,-248.3959252116
S66x8/48-B,-248.3958704843
S66x8/48-090,-496.7875680692
S66x8/48-095,-496.7899670473
S66x8/48-100,-496.7913792917
S66x8/48-105,-496.7921770855
S66x8/48-110,-496.7925102268
S66x8/48-125,-496.7927141732
S66x8/48-150,-496.7924235134
S66x8/48-200,-496.7921521012
S66x8/49-A,-232.3540727797
S66x8/49-B,-248.3959014555
S66x8/49-090,-480.7443452471
S66x8/49-095,-480.7473240606
S66x8/49-100,-480.7489690872
S66x8/49-105,-480.7498976392
S66x8/49-110,-480.7503271872
S66x8/49-125,-480.7506047329
S66x8/49-150,-480.7503826791
S66x8/49-200,-480.7501249998
S66x8/50-A,-232.3540682469
S66x8/50-B,-77.370337282
S66x8/50-090,-309.7217966393
S66x8/50-095,-309.723835367
S66x8/50-100,-309.7248029625
S66x8/50-105,-309.7253673776
S66x8/50-110,-309.725588774
S66x8/50-125,-309.7254696298
S66x8/50-150,-309.7249452915
S66x8/50-200,-309.7245259988
S66x8/51-A,-77.3703007501
S66x8/51-B,-77.3703528799
S66x8/51-090,-154.7409214725
S66x8/51-095,-154.7415357074
S66x8/51-100,-154.7417906207
S66x8/51-105,-154.7418457425
S66x8/51-110,-154.7417985424
S66x8/51-125,-154.7414693197
S66x8/51-150,-154.741046324
S66x8/51-200,-154.7407447002
S66x8/52-A,-232.3540681774
S66x8/52-B,-229.2057574303
S66x8/52-090,-461.5590480148
S66x8/52-095,-461.5609286243
S66x8/52-100,-461.5619488889
S66x8/52-105,-461.5624382651
S66x8/52-110,-461.5625705544
S66x8/52-125,-461.562116979
S66x8/52-150,-461.561142382
S66x8/52-200,-461.5603157859
S66x8/53-A,-232.3540721875
S66x8/53-B,-209.3256981706
S66x8/53-090,-441.6798383279
S66x8/53-095,-441.6812689
S66x8/53-100,-441.6820300624
S66x8/53-105,-441.6823610789
S66x8/53-110,-441.6824306843
S66x8/53-125,-441.6819410179
S66x8/53-150,-441.6810057423
S66x8/53-200,-441.6801186722
S66x8/54-A,-232.3540600984
S66x8/54-B,-76.4727321109
S66x8/54-090,-308.8272919325
S66x8/54-095,-308.8286432912
S66x8/54-100,-308.8292671321
S66x8/54-105,-308.8294338283
S66x8/54-110,-308.8293749015
S66x8/54-125,-308.8288830974
S66x8/54-150,-308.8280796098
S66x8/54-200,-308.8273570284
S66x8/55-A,-232.3540475036
S66x8/55-B,-115.7867055366
S66x8/55-090,-348.1390065048
S66x8/55-095,-348.1409230196
S66x8/55-100,-348.1419876005
S66x8/55-105,-348.1425838167
S66x8/55-110,-348.1428499194
S66x8/55-125,-348.1425457821
S66x8/55-150,-348.1418452601
S66x8/55-200,-348.1412363055
S66x8/56-A,-232.3540723747
S66x8/56-B,-95.9113906872
S66x8/56-090,-328.2617400476
S66x8/56-095,-328.2637402695
S66x8/56-100,-328.2649264412
S66x8/56-105,-328.2657105237
S66x8/56-110,-328.2660896152
S66x8/56-125,-328.2661949028
S66x8/56-150,-328.2659432454
S66x8/56-200,-328.2656743648
S66x8/57-A,-232.3540482366
S66x8/57-B,-248.6500689757
S66x8/57-090,-480.9986916503
S66x8/57-095,-481.002422674
S66x8/57-100,-481.0043822694
S66x8/57-105,-481.0054587898
S66x8/57-110,-481.0060218004
S66x8/57-125,-481.0059932858
S66x8/57-150,-481.00535037
S66x8/57-200,-481.0047149844
S66x8/58-A,-248.3959131044
S66x8/58-B,-248.3958592612
S66x8/58-090,-496.7914193292
S66x8/58-095,-496.7935718952
S66x8/58-100,-496.7947732411
S66x8/58-105,-496.7949184778
S66x8/58-110,-496.7946990779
S66x8/58-125,-496.7936950245
S66x8/58-150,-496.7926947166
S66x8/58-200,-496.7920994371
S66x8/59-A,-77.37037574
S66x8/59-B,-76.4728047484
S66x8/59-090,-153.8463994482
S66x8/59-095,-153.8468453821
S66x8/59-100,-153.8469355742
S66x8/59-105,-153.8468183479
S66x8/59-110,-153.8465868965
S66x8/59-125,-153.8457036141
S66x8/59-150,-153.8445538068
S66x8/59-200,-153.8435708707
S66x8/60-A,-77.3702765954
S66x8/60-B,-229.205740544
S66x8/60-090,-306.5799073809
S66x8/60-095,-306.5809612406
S66x8/60-100,-306.5813308042
S66x8/60-105,-306.5812950181
S66x8/60-110,-306.5810262768
S66x8/60-125,-306.5797600093
S66x8/60-150,-306.5779843606
S66x8/60-200,-306.5765914518
S66x8/61-A,-197.8660533871
S66x8/61-B,-229.2057917707
S66x8/61-090,-427.0682370884
S66x8/61-095,-427.0695444112
S66x8/61-100,-427.0703632939
S66x8/61-105,-427.0708454995
S66x8/61-110,-427.0711276154
S66x8/61-125,-427.0715788584
S66x8/61-150,-427.0717154434
S66x8/61-200,-427.0718694837
S66x8/62-A,-197.8660448681
S66x8/62-B,-209.325717864
S66x8/62-090,-407.1876572332
S66x8/62-095,-407.1894440366
S66x8/62-100,-407.1905119866
S66x8/62-105,-407.1911027247
S66x8/62-110,-407.1914394961
S66x8/62-125,-407.1917597246
S66x8/62-150,-407.191787525
S66x8/62-200,-407.1918032759
S66x8/63-A,-232.3540912395
S66x8/63-B,-229.2057506272
S66x8/63-090,-461.5540509702
S66x8/63-095,-461.5569894387
S66x8/63-100,-461.5587119322
S66x8/63-105,-461.5596791982
S66x8/63-110,-461.5600646045
S66x8/63-125,-461.5604330837
S66x8/63-150,-461.5601709662
S66x8/63-200,-461.5599468374
S66x8/64-A,-248.6500501088
S66x8/64-B,-78.6307030713
S66x8/64-090,-327.2789015854
S66x8/64-095,-327.2802376589
S66x8/64-100,-327.2809625029
S66x8/64-105,-327.2813231134
S66x8/64-110,-327.2814557026
S66x8/64-125,-327.2814250114
S66x8/64-150,-327.2810680604
S66x8/64-200,-327.2808354839
S66x8/65-A,-248.3959570785
S66x8/65-B,-77.369821238
S66x8/65-090,-325.7704361785
S66x8/65-095,-325.7710797403
S66x8/65-100,-325.7712692202
S66x8/65-105,-325.7711796697
S66x8/65-110,-325.7709311538
S66x8/65-125,-325.7698472389
S66x8/65-150,-325.7683329296
S66x8/65-200,-325.7670662723
S66x8/66-A,-95.9113758119
S66x8/66-B,-248.3959414574
S66x8/66-090,-344.3062801226
S66x8/66-095,-344.3076850245
S66x8/66-100,-344.3085212891
S66x8/66-105,-344.3089758443
S66x8/66-110,-344.3091496285
S66x8/66-125,-344.3089530287
